joint_number,joint_length,wall_thickness,dist_upstream_weld,dist_downstream_weld,log_distance,event_type,orientation,depth_percent,depth_inches,Metal Loss Depth + Tolerance[%],Dimension Classification,Metal Loss Depth Tolerance [%] (includes seamless and HAZ and modified specs),Dent Depth[%],Dent Depth[in],Is any part of the dent affecting the top of the pipe? [Y/N],length,width,clock_position,comments,Anomalies per Joint,Was anomaly sizing reviewed by analyst? [Y/N],Was anomaly sizing/dimensions manually changed? [Y/N],Magnetization Level [kA/m] for MFL survey or Actual WT [in] for UT Survey,elevation,Seam Position[hh:mm],Distance To Seam Weld [in],Tool,pdesign,smys,Pipe Type,Pipe Diameter (O.D.)[in.],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,Length Tolerance [in],Width Tolerance [in],inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,event_type_normalized,is_reference,clock_decimal,original_index,corrected_distance
6520,40.03,0.344,29.895,10.131,23729.636,Metal Loss,External,23.0,0.079,38.0,AXGR,20.0,,,,3.1,1.0,10:12,EXT ML,5,N,N,5.97,91.497,02:32,27.227,CMFL,1025,65000,E.R. WELD,24,1460.9,2029.0,1442.3,2003.1,0.702,1.089,1.0,1.2,2022,Metal Loss_23729.6,True,23729.636,23728.878999999997,METAL_LOSS,False,10.2,1776,23705.064056059353
6520,40.03,0.344,30.141,9.888,23729.879,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,6.3,8.7,11:34,EXT ML,5,N,N,5.97,91.491,02:32,18.85,CMFL,1025,65000,E.R. WELD,24,1377.5,1913.2,1357.2,1885.0,0.744,1.03,1.0,1.2,2022,Metal Loss_23729.9,True,23729.879,23729.122,METAL_LOSS,False,11.566666666666666,1777,23705.306455070073
6530,27.854,0.344,26.936,0.919,23766.703,Metal Loss,External,20.0,0.069,,GENE,,,,,1.2,1.8,8:34,EXT ML REPAIRED,3,N,N,5.97,90.955,03:56,29.112,CMFL,1025,65000,E.R. WELD,24,1531.4,2126.9,1527.7,2121.9,0.669,1.142,,,2022,Metal Loss_23766.7,True,23766.703,23765.946,METAL_LOSS,False,8.566666666666666,1784,23753.793674876142
6540,39.957,0.344,0.715,39.242,23768.337,Metal Loss,External,26.0,0.089,41.0,GENE,20.0,,,,1.3,1.9,4:57,EXT ML,1,N,N,5.97,90.938,11:32,34.139,CMFL,1025,65000,E.R. WELD,24,1521.8,2113.6,1515.7,2105.1,0.674,1.134,1.0,1.2,2022,Metal Loss_23768.3,True,23768.337,23767.58,METAL_LOSS,False,4.95,1788,23755.82657340207
6580,39.944,0.344,0.81,39.131,23928.773,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,3.6,2.4,5:07,EXT ML,4,N,N,5.97,90.102,07:20,13.823,CMFL,1025,65000,E.R. WELD,24,1455.9,2022.1,1437.9,1997.1,0.704,1.085,1.0,1.2,2022,Metal Loss_23928.8,True,23928.773,23928.016,METAL_LOSS,False,5.116666666666666,1799,23915.753694329705
6580,39.944,0.344,0.853,39.091,23928.812,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,1.9,2.1,10:38,EXT ML,4,N,N,5.97,90.102,07:20,20.735,CMFL,1025,65000,E.R. WELD,24,1517.6,2107.8,1511.2,2098.9,0.676,1.131,1.0,1.2,2022,Metal Loss_23928.8,True,23928.812,23928.055,METAL_LOSS,False,10.633333333333333,1800,23915.792679684568
6580,39.944,0.344,17.579,22.365,23945.538,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,2.9,2.3,5:55,EXT ML,4,N,N,5.97,89.953,07:20,8.796,CMFL,1025,65000,E.R. WELD,24,1500.9,2084.6,1491.5,2071.5,0.683,1.119,1.0,1.2,2022,Metal Loss_23945.5,True,23945.538,23944.781,METAL_LOSS,False,5.916666666666667,1801,23932.51239879835
6580,39.944,0.344,24.029,15.912,23951.991,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,3.4,2.0,5:47,EXT ML,4,N,N,5.97,89.89,07:20,9.634,CMFL,1025,65000,E.R. WELD,24,1477.9,2052.6,1463.7,2032.9,0.694,1.1,1.0,1.2,2022,Metal Loss_23952.0,True,23951.991,23951.234,METAL_LOSS,False,5.783333333333333,1802,23938.96297559144
6590,40.233,0.344,8.609,31.627,23976.512,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,8.0,3.3,6:46,EXT ML,6,N,N,5.97,89.885,05:24,8.587,CMFL,1025,65000,E.R. WELD,24,1459.6,2027.3,1443.5,2004.8,0.702,1.089,1.0,1.2,2022,Metal Loss_23976.5,True,23976.512,23975.754999999997,METAL_LOSS,False,6.766666666666667,1804,23963.427510686946
6590,40.233,0.344,9.055,31.181,23976.959,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,3.9,2.5,4:43,EXT ML,6,N,N,5.97,89.898,05:24,4.189,CMFL,1025,65000,E.R. WELD,24,1497.6,2080.0,1487.9,2066.5,0.685,1.118,1.0,1.2,2022,Metal Loss_23977.0,True,23976.959,23976.201999999997,METAL_LOSS,False,4.716666666666667,1805,23963.87188885575
6590,40.233,0.344,9.685,30.551,23977.589,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,5.1,2.0,5:39,EXT ML ( NEAR SW ),6,N,N,5.97,89.916,05:24,1.676,CMFL,1025,65000,E.R. WELD,24,1473.2,2046.1,1459.8,2027.4,0.696,1.097,1.0,1.2,2022,Metal Loss_23977.6,True,23977.589,23976.832,METAL_LOSS,False,5.65,1806,23964.498193657422
6590,40.233,0.344,39.177,1.06,24007.08,Metal Loss,External,14.0,0.048,29.0,GENE,20.0,,,,3.5,5.5,3:03,EXT ML,6,N,N,5.97,90.758,05:24,12.776,CMFL,1025,65000,E.R. WELD,24,1489.4,2068.6,1487.3,2065.7,0.688,1.111,1.0,1.2,2022,Metal Loss_24007.1,True,24007.08,24006.323,METAL_LOSS,False,3.05,1807,23993.816217317824
6590,40.233,0.344,39.219,1.017,24007.123,Metal Loss,External,28.0,0.096,43.0,PITT,20.0,,,,0.9,1.4,4:32,EXT ML,6,N,N,5.97,90.76,05:24,5.445,CMFL,1025,65000,E.R. WELD,24,1532.4,2128.3,1528.6,2123.0,0.669,1.142,0.6,1.2,2022,Metal Loss_24007.1,True,24007.123,24006.366,METAL_LOSS,False,4.533333333333333,1808,23993.858965105876
6590,40.233,0.344,39.528,0.709,24007.431,Metal Loss,External,16.0,0.055,31.0,PITT,20.0,,,,1.4,1.1,4:20,EXT ML,6,N,N,5.97,90.768,05:24,6.702,CMFL,1025,65000,E.R. WELD,24,1531.0,2126.4,1527.5,2121.5,0.67,1.142,0.6,1.2,2022,Metal Loss_24007.4,True,24007.431,24006.674,METAL_LOSS,False,4.333333333333333,1809,23994.16515856447
6600,39.997,0.344,0.705,39.288,24008.845,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,4.3,2.0,4:04,EXT ML,1,N,N,5.97,90.809,UNKN,,CMFL,1025,65000,E.R. WELD,24,1437.3,1996.3,1429.7,1985.7,0.713,1.071,1.0,1.2,2022,Metal Loss_24008.8,True,24008.845,24008.088,METAL_LOSS,False,4.066666666666666,1811,23995.574770834897
6680,39.97,0.344,18.281,21.69,24343.599,Metal Loss,External,10.0,0.034,25.0,GENE,20.0,,,,10.3,3.6,12:55,EXT ML,3,N,N,5.97,96.852,UNKN,,CMFL,1025,65000,E.R. WELD,24,1456.0,2022.3,1439.4,1999.2,0.704,1.087,1.0,1.2,2022,Metal Loss_24343.6,True,24343.599,24342.841999999997,METAL_LOSS,False,12.916666666666666,1820,24329.069300545354
6680,39.97,0.344,19.642,20.331,24344.957,Metal Loss,External,14.0,0.048,29.0,GENE,20.0,,,,7.6,1.8,12:55,EXT ML,3,N,N,5.97,96.906,UNKN,,CMFL,1025,65000,E.R. WELD,24,1441.5,2002.1,1421.5,1974.3,0.711,1.073,1.0,1.2,2022,Metal Loss_24345.0,True,24344.957,24344.199999999997,METAL_LOSS,False,12.916666666666666,1821,24330.425466052933
6680,39.97,0.344,22.07,17.904,24347.385,Metal Loss,External,10.0,0.034,25.0,GENE,20.0,,,,21.5,2.9,1:24,EXT ML,3,N,N,5.97,97.004,UNKN,,CMFL,1025,65000,E.R. WELD,24,1435.5,1993.8,1424.8,1978.9,0.714,1.074,1.0,1.2,2022,Metal Loss_24347.4,True,24347.385,24346.627999999997,METAL_LOSS,False,1.4,1822,24332.850186120977
6930,40.174,0.344,16.864,23.307,25325.915,Metal Loss,External,19.0,0.065,34.0,GENE,20.0,,,,4.0,1.6,5:40,EXT ML,1,N,N,5.97,131.422,11:00,33.51,CMFL,1025,65000,E.R. WELD,24,1455.0,2020.9,1436.2,1994.7,0.705,1.085,1.0,1.2,2022,Metal Loss_25325.9,True,25325.915,25325.158,METAL_LOSS,False,5.666666666666667,1866,25307.317186916585
6990,40.262,0.344,1.319,38.944,25551.125,Metal Loss,External,28.0,0.096,43.0,GENE,20.0,,,,1.3,1.3,3:08,EXT ML,2,N,N,5.97,51.699,06:24,20.525,CMFL,1025,65000,E.R. WELD,24,1518.5,2109.0,1511.4,2099.2,0.675,1.132,1.0,1.2,2022,Metal Loss_25551.1,True,25551.125,25550.368,METAL_LOSS,False,3.1333333333333333,1874,25511.499729031617
7010,40.18,0.344,13.432,26.749,25623.497,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,4.5,2.1,4:13,EXT ML,14,N,N,5.97,28.934,08:52,29.112,CMFL,1025,65000,E.R. WELD,24,1482.9,2059.6,1470.4,2042.3,0.691,1.107,1.0,1.2,2022,Metal Loss_25623.5,True,25623.497,25622.74,METAL_LOSS,False,4.216666666666667,1879,25577.330578148332
7010,40.18,0.344,16.155,24.026,25626.22,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,4.5,2.6,4:14,EXT ML,14,N,N,5.97,28.309,08:52,29.112,CMFL,1025,65000,E.R. WELD,24,1478.5,2053.4,1465.1,2034.8,0.693,1.103,1.0,1.2,2022,Metal Loss_25626.2,True,25626.22,25625.463,METAL_LOSS,False,4.233333333333333,1880,25580.023081632655
7010,40.18,0.344,18.488,21.693,25628.553,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,12.4,3.1,9:05,EXT ML ( ON SW ),14,N,N,5.97,27.775,08:52,1.466,CMFL,1025,65000,E.R. WELD,24,1421.9,1974.9,1403.3,1949.1,0.721,1.061,1.0,1.2,2022,Metal Loss_25628.6,True,25628.553,25627.796,METAL_LOSS,False,9.083333333333334,1881,25582.32995296167
7010,40.18,0.344,21.122,19.058,25631.188,Metal Loss,External,10.0,0.034,25.0,GENE,20.0,,,,3.7,3.0,4:19,EXT ML,14,N,N,5.97,27.171,08:52,28.484,CMFL,1025,65000,E.R. WELD,24,1504.2,2089.2,1495.8,2077.6,0.682,1.123,1.0,1.2,2022,Metal Loss_25631.2,True,25631.188,25630.430999999997,METAL_LOSS,False,4.316666666666666,1882,25584.93544201095
7010,40.18,0.344,23.238,16.946,25633.301,Metal Loss,External,13.0,0.044,28.0,GENE,15.0,,,,6.5,3.8,4:17,*EXT ML,14,Y,Y,5.97,26.686,08:52,28.693,CMFL,1025,65000,E.R. WELD,24,1453.2,2018.4,1435.3,1993.5,0.705,1.085,0.8,1.0,2022,Metal Loss_25633.3,True,25633.301,25632.544,METAL_LOSS,False,4.283333333333333,1883,25587.024777252365
7010,40.18,0.344,23.983,16.198,25634.049,Metal Loss,External,23.0,0.079,38.0,GENE,15.0,,,,2.0,1.8,4:22,*EXT ML,14,Y,Y,5.97,26.515,08:52,28.274,CMFL,1025,65000,E.R. WELD,24,1503.0,2087.5,1493.0,2073.6,0.682,1.121,0.8,1.0,2022,Metal Loss_25634.0,True,25634.049,25633.292,METAL_LOSS,False,4.366666666666666,1884,25587.76439995022
7010,40.18,0.344,24.58,15.6,25634.646,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,5.7,2.0,2:53,EXT ML,14,N,N,5.97,26.378,08:52,37.49,CMFL,1025,65000,E.R. WELD,24,1432.6,1989.8,1410.1,1958.5,0.716,1.065,1.0,1.2,2022,Metal Loss_25634.6,True,25634.646,25633.889,METAL_LOSS,False,2.8833333333333333,1885,25588.354713787954
7010,40.18,0.344,26.027,14.154,25636.093,Metal Loss,External,23.0,0.079,38.0,PITT,20.0,,,,1.2,1.1,2:53,EXT ML,14,N,N,5.97,26.046,08:52,37.49,CMFL,1025,65000,E.R. WELD,24,1529.4,2124.2,1525.2,2118.4,0.67,1.14,0.6,1.2,2022,Metal Loss_25636.1,True,25636.093,25635.336,METAL_LOSS,False,2.8833333333333333,1886,25589.785507964163
7010,40.18,0.344,29.065,11.115,25639.131,Metal Loss,External,14.0,0.048,29.0,GENE,20.0,,,,2.8,2.9,8:43,EXT ML ( ON SW ),14,N,N,5.97,25.351,08:52,0.838,CMFL,1025,65000,E.R. WELD,24,1505.6,2091.1,1497.2,2079.4,0.681,1.122,1.0,1.2,2022,Metal Loss_25639.1,True,25639.131,25638.374,METAL_LOSS,False,8.716666666666667,1887,25592.789483573917
7010,40.18,0.344,29.642,10.538,25639.708,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,3.9,2.6,10:17,EXT ML,14,N,N,5.97,25.218,08:52,9.006,CMFL,1025,65000,E.R. WELD,24,1469.8,2041.4,1454.3,2019.8,0.697,1.095,1.0,1.2,2022,Metal Loss_25639.7,True,25639.708,25638.950999999997,METAL_LOSS,False,10.283333333333333,1888,25593.36002140368
7010,40.18,0.344,29.754,10.427,25639.82,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,5.2,1.9,8:48,EXT ML ( ON SW ),14,N,N,5.97,25.192,08:52,0.419,CMFL,1025,65000,E.R. WELD,24,1480.3,2056.0,1467.5,2038.2,0.693,1.101,1.0,1.2,2022,Metal Loss_25639.8,True,25639.82,25639.063,METAL_LOSS,False,8.8,1889,25593.470767048282
7010,40.18,0.344,30.925,9.255,25640.991,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.8,1.2,8:50,EXT ML ( ON SW ),14,N,N,5.97,24.924,08:52,0.209,CMFL,1025,65000,E.R. WELD,24,1508.5,2095.2,1500.8,2084.4,0.68,1.125,1.0,1.2,2022,Metal Loss_25641.0,True,25640.991,25640.234,METAL_LOSS,False,8.833333333333334,1890,25594.628652314586
7010,40.18,0.344,32.933,7.247,25642.999,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,6.9,3.2,8:23,EXT ML,14,N,N,5.97,24.463,08:52,2.932,CMFL,1025,65000,E.R. WELD,24,1464.3,2033.7,1454.9,2020.7,0.7,1.089,1.0,1.2,2022,Metal Loss_25643.0,True,25642.999,25642.242,METAL_LOSS,False,8.383333333333333,1891,25596.614163514187
7010,40.18,0.344,36.781,3.399,25646.847,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,8.7,2.1,8:49,EXT ML ( ON SW ),14,N,N,5.97,23.582,08:52,0.209,CMFL,1025,65000,E.R. WELD,24,1447.0,2009.8,1428.3,1983.8,0.708,1.079,1.0,1.2,2022,Metal Loss_25646.8,True,25646.847,25646.09,METAL_LOSS,False,8.816666666666666,1892,25600.41906744649
7030,40.112,0.344,15.604,24.511,25679.688,Metal Loss,External,21.0,0.072,36.0,GENE,15.0,,,,5.7,1.3,6:48,*EXT ML,1,Y,Y,5.97,19.048,12:08,33.51,CMFL,1025,65000,E.R. WELD,24,1408.9,1956.8,1381.3,1918.4,0.728,1.049,0.8,1.0,2022,Metal Loss_25679.7,True,25679.688,25678.930999999997,METAL_LOSS,False,6.8,1895,25646.981430174004
7110,9.465,0.5,9.15,0.315,25938.501,Metal Loss,External,30.0,0.15,45.0,GENE,20.0,,,,17.4,5.7,1:46,EXT ML ( ON GW ),1,N,N,4.14,21.706,UNKN,,CMFL,1025,60000,E.R. WELD,24,1678.6,2331.4,1794.7,2492.7,0.611,0.931,1.0,1.2,2022,Metal Loss_25938.5,True,25938.501,25937.744,METAL_LOSS,False,1.7666666666666666,1908,25955.87091696599
7120,39.967,0.344,0.768,39.199,25939.583,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,2.7,3.0,12:01,EXT ML,1,N,N,5.97,21.958,08:08,24.504,CMFL,1025,65000,E.R. WELD,24,1501.3,2085.1,1491.8,2072.0,0.683,1.119,1.0,1.2,2022,Metal Loss_25939.6,True,25939.583,25938.825999999997,METAL_LOSS,False,12.016666666666667,1910,25957.964178947634
7380,40.295,0.344,38.98,1.316,26972.835,Metal Loss,External,38.0,0.131,53.0,GENE,20.0,,,,6.7,4.8,7:52,EXT ML,3,N,N,5.97,156.038,09:12,9.634,CMFL,1025,65000,E.R. WELD,24,1237.7,1719.0,1334.6,1853.6,0.828,0.926,1.0,1.2,2022,Metal Loss_26972.8,True,26972.835,26972.078,METAL_LOSS,False,7.866666666666667,1951,26945.095403896263
7380,40.295,0.344,39.318,0.978,26973.173,Metal Loss,External,50.0,0.172,65.0,GENE,15.0,,,,7.7,10.9,5:39,*EXT ML,3,Y,Y,5.97,155.918,09:12,17.593,CMFL,1025,65000,E.R. WELD,24,1095.9,1522.1,1291.9,1794.3,0.935,0.814,1.0,1.2,2022,Metal Loss_26973.2,True,26973.173,26972.415999999997,METAL_LOSS,False,5.65,1953,26945.212250651442
7400,40.259,0.344,39.268,0.994,27036.135,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,7.9,7.4,3:29,EXT ML,1,N,N,5.97,125.997,08:52,30.997,CMFL,1025,65000,E.R. WELD,24,1373.7,1908.0,1355.8,1883.0,0.746,1.025,1.0,1.2,2022,Metal Loss_27036.1,True,27036.135,27035.377999999997,METAL_LOSS,False,3.4833333333333334,1958,27006.122071928865
7420,29.888,0.344,0.121,29.77,27051.293,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,1.5,1.3,2:25,EXT ML,5,N,N,5.97,123.627,10:20,25.761,CMFL,1025,65000,E.R. WELD,24,1520.6,2111.9,1514.5,2103.5,0.674,1.133,1.0,1.2,2022,Metal Loss_27051.3,True,27051.293,27050.536,METAL_LOSS,False,2.4166666666666665,1962,27046.867330701287
7420,29.888,0.344,0.463,29.426,27051.637,Metal Loss,External,20.0,0.069,35.0,GENE,20.0,,,,2.4,4.1,11:15,EXT ML,5,N,N,5.97,123.607,10:20,6.702,CMFL,1025,65000,E.R. WELD,24,1496.1,2078.0,1487.1,2065.5,0.685,1.116,1.0,1.2,2022,Metal Loss_27051.6,True,27051.637,27050.879999999997,METAL_LOSS,False,11.25,1963,27047.32598969486
7420,29.888,0.344,0.548,29.341,27051.722,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,12.8,4.6,9:21,EXT ML,5,N,N,5.97,123.602,10:20,4.608,CMFL,1025,65000,E.R. WELD,24,1443.8,2005.2,1439.5,1999.4,0.71,1.075,1.0,1.2,2022,Metal Loss_27051.7,True,27051.722,27050.965,METAL_LOSS,False,9.35,1964,27047.439321132228
7420,29.888,0.344,0.646,29.245,27051.818,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,2.3,1.7,12:20,EXT ML,5,N,N,5.97,123.597,10:20,12.566,CMFL,1025,65000,E.R. WELD,24,1510.3,2097.6,1502.5,2086.8,0.679,1.127,1.0,1.2,2022,Metal Loss_27051.8,True,27051.818,27051.061,METAL_LOSS,False,12.333333333333334,1965,27047.5673189909
7420,29.888,0.344,0.807,29.081,27051.982,Metal Loss,External,20.0,0.069,35.0,GENE,20.0,,,,10.4,5.2,3:49,EXT ML,5,N,N,5.97,123.588,10:20,36.442,CMFL,1025,65000,E.R. WELD,24,1368.1,1900.1,1364.7,1895.4,0.749,1.017,1.0,1.2,2022,Metal Loss_27052.0,True,27051.982,27051.225,METAL_LOSS,False,3.8166666666666664,1966,27047.785981999466
7480,40.003,0.344,29.961,10.046,27303.054,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,4.3,2.3,10:14,EXT ML,1,N,N,5.97,185.459,10:40,2.723,CMFL,1025,65000,E.R. WELD,24,1472.0,2044.4,1457.1,2023.8,0.696,1.097,1.0,1.2,2022,Metal Loss_27303.1,True,27303.054,27302.297,METAL_LOSS,False,10.233333333333333,1977,27305.70801779733
7490,40.272,0.344,38.524,1.752,27351.621,Metal Loss,External,27.0,0.093,42.0,GENE,20.0,,,,8.2,5.1,5:50,EXT ML,1,N,N,5.97,186.959,11:44,37.49,CMFL,1025,65000,E.R. WELD,24,1313.5,1824.3,1363.3,1893.5,0.78,0.982,1.0,1.2,2022,Metal Loss_27351.6,True,27351.621,27350.864,METAL_LOSS,False,5.833333333333333,1980,27353.99074640578
7520,39.934,0.344,0.863,39.072,27423.72,Metal Loss,External,28.0,0.096,43.0,GENE,20.0,,,,1.3,1.9,5:41,EXT ML,1,N,N,5.97,188.075,UNKN,,CMFL,1025,65000,E.R. WELD,24,1521.4,2113.0,1515.0,2104.1,0.674,1.134,1.0,1.2,2022,Metal Loss_27423.7,True,27423.72,27422.963,METAL_LOSS,False,5.683333333333334,1987,27436.583640506837
7550,40.164,0.344,39.472,0.692,27582.421,Metal Loss,External,20.0,0.069,35.0,GENE,20.0,,,,9.4,9.7,8:08,EXT ML ( ON GW ),1,N,N,5.97,188.141,12:32,27.646,CMFL,1025,65000,E.R. WELD,24,1374.3,1908.8,1361.3,1890.6,0.746,1.022,1.0,1.2,2022,Metal Loss_27582.4,True,27582.421,27581.663999999997,METAL_LOSS,False,8.133333333333333,1991,27595.03036449645
7580,39.921,0.344,1.719,38.199,27664.951,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,5.5,2.3,12:59,EXT ML ( ON SW ),2,N,N,5.97,190.26,01:00,0.0,CMFL,1025,65000,E.R. WELD,24,1456.0,2022.3,1438.4,1997.7,0.704,1.084,1.0,1.2,2022,Metal Loss_27665.0,True,27664.951,27664.194,METAL_LOSS,False,12.983333333333333,1997,27677.55554561852
7580,39.921,0.344,19.715,20.207,27682.943,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,10.9,3.3,12:49,EXT ML ( ON SW ),2,N,N,5.97,191.058,01:00,0.628,CMFL,1025,65000,E.R. WELD,24,1392.7,1934.3,1391.2,1932.2,0.736,1.036,1.0,1.2,2022,Metal Loss_27682.9,True,27682.943,27682.186,METAL_LOSS,False,12.816666666666666,1998,27695.61605566411
7670,40.092,0.344,28.967,11.122,28053.438,Metal Loss,External,14.0,0.048,29.0,GENE,20.0,,,,3.6,2.8,11:49,EXT ML,4,N,N,5.97,173.961,09:12,16.546,CMFL,1025,65000,E.R. WELD,24,1489.2,2068.4,1477.7,2052.3,0.688,1.111,1.0,1.2,2022,Metal Loss_28053.4,True,28053.438,28052.680999999997,METAL_LOSS,False,11.816666666666666,2026,28037.598793494795
7670,40.092,0.344,30.968,9.124,28055.436,Metal Loss,External,19.0,0.065,34.0,GENE,20.0,,,,4.1,1.7,7:35,EXT ML,4,N,N,5.97,173.176,09:12,10.053,CMFL,1025,65000,E.R. WELD,24,1455.9,2022.1,1437.4,1996.4,0.704,1.083,1.0,1.2,2022,Metal Loss_28055.4,True,28055.436,28054.679,METAL_LOSS,False,7.583333333333333,2027,28039.59126162979
7670,40.092,0.344,31.516,8.573,28055.988,Metal Loss,External,37.0,0.127,52.0,GENE,20.0,,,,5.2,4.6,7:17,EXT ML,4,N,N,5.97,172.96,09:12,10.472,CMFL,1025,65000,E.R. WELD,24,1300.2,1805.9,1358.5,1886.8,0.788,0.967,1.0,1.2,2022,Metal Loss_28056.0,True,28055.988,28055.231,METAL_LOSS,False,7.283333333333333,2028,28040.141733306726
7670,40.092,0.344,35.751,4.341,28060.22,Metal Loss,External,31.0,0.106,46.0,GENE,20.0,,,,18.5,5.6,1:35,EXT ML,4,N,N,5.97,171.296,09:12,26.808,CMFL,1025,65000,E.R. WELD,24,1213.0,1684.7,1280.0,1777.8,0.845,0.901,1.0,1.2,2022,Metal Loss_28060.2,True,28060.22,28059.463,METAL_LOSS,False,1.5833333333333335,2029,28044.362016163228
7690,40.266,0.344,0.171,40.095,28078.061,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,8.4,5.6,3:09,EXT ML,1,N,N,5.97,168.371,02:12,6.074,CMFL,1025,65000,E.R. WELD,24,1405.3,1951.8,1378.3,1914.3,0.729,1.048,1.0,1.2,2022,Metal Loss_28078.1,True,28078.061,28077.304,METAL_LOSS,False,3.15,2033,28069.389785426913
7860,40.174,0.344,17.881,22.29,28743.881,Metal Loss,External,37.0,0.127,52.0,GENE,20.0,,,,14.0,7.5,6:25,EXT ML,1,N,N,5.97,130.012,02:04,29.95,CMFL,1025,65000,E.R. WELD,24,1153.1,1601.5,1135.3,1576.8,0.889,0.864,1.0,1.2,2022,Metal Loss_28743.9,True,28743.881,28743.124,METAL_LOSS,False,6.416666666666667,2058,28751.906541544282
7910,40.0,0.344,0.715,39.285,28927.359,Metal Loss,External,27.0,0.093,42.0,GENE,20.0,,,,3.2,6.2,5:47,EXT ML,1,N,N,5.97,132.476,01:08,27.646,CMFL,1025,65000,E.R. WELD,24,1439.9,1999.8,1420.0,1972.3,0.712,1.075,1.0,1.2,2022,Metal Loss_28927.4,True,28927.359,28926.602,METAL_LOSS,False,5.783333333333333,2072,28934.90374875
7990,40.013,0.344,0.387,39.629,29241.407,Metal Loss,External,25.0,0.086,40.0,GENE,20.0,,,,7.6,4.4,4:05,EXT ML,3,N,N,5.97,127.117,10:36,35.605,CMFL,1025,65000,E.R. WELD,24,1341.2,1862.8,1361.0,1890.3,0.764,1.001,1.0,1.2,2022,Metal Loss_29241.4,True,29241.407,29240.65,METAL_LOSS,False,4.083333333333333,2086,29247.776642177072
7990,40.013,0.344,0.436,39.58,29241.457,Metal Loss,External,25.0,0.086,40.0,GENE,20.0,,,,8.1,12.3,5:52,EXT ML,3,N,N,5.97,127.115,10:36,27.227,CMFL,1025,65000,E.R. WELD,24,1341.6,1863.3,1351.8,1877.5,0.764,0.997,1.0,1.2,2022,Metal Loss_29241.5,True,29241.457,29240.699999999997,METAL_LOSS,False,5.866666666666667,2087,29247.82659594672
7990,40.013,0.344,19.026,20.991,29260.046,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,8.3,6.1,5:29,EXT ML,3,N,N,5.97,125.988,10:36,30.997,CMFL,1025,65000,E.R. WELD,24,1441.4,2002.0,1422.0,1975.0,0.711,1.075,1.0,1.2,2022,Metal Loss_29260.0,True,29260.046,29259.288999999997,METAL_LOSS,False,5.483333333333333,2089,29266.398408426416
8000,40.095,0.344,39.022,1.073,29320.059,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,10.9,11.1,5:16,EXT ML,4,N,N,5.97,122.139,11:56,37.071,CMFL,1025,65000,E.R. WELD,24,1347.1,1871.0,1343.1,1865.5,0.761,1.007,1.0,1.2,2022,Metal Loss_29320.1,True,29320.059,29319.302,METAL_LOSS,False,5.266666666666667,2092,29326.367669036037
8000,40.095,0.344,39.065,1.03,29320.102,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,9.2,3.7,7:08,EXT ML,4,N,N,5.97,122.136,11:56,30.578,CMFL,1025,65000,E.R. WELD,24,1341.8,1863.6,1342.7,1864.9,0.764,1.002,1.0,1.2,2022,Metal Loss_29320.1,True,29320.102,29319.345,METAL_LOSS,False,7.133333333333334,2093,29326.410642224713
