joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,distance_ft,Height[ft],feature_type,depth_pct,id_reduction_pct,anomaly_length_in,anomaly_width_in,burst_pressure_psi,clock_position,internal_external,comments,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned
3160.0,39.99,0.344,,11322.21,837.6544,Girth Weld,,,,,,nan,,,2007,Girth Weld_11322.2,False,11322.21,11322.59
3170.0,39.95,0.344,,11362.19,839.5826,Girth Weld,,,,,,nan,,,2007,Girth Weld_11362.2,False,11362.19,11362.57
3180.0,39.97,0.344,,11402.14,841.351,Girth Weld,,,,,,nan,,,2007,Girth Weld_11402.1,False,11402.14,11402.52
3190.0,39.91,0.344,,11442.11,842.9048,Girth Weld,,,,,,nan,,,2007,Girth Weld_11442.1,False,11442.11,11442.490000000002
3200.0,39.92,0.344,,11482.02,843.7978,Girth Weld,,,,,,nan,,,2007,Girth Weld_11482.0,False,11482.02,11482.400000000001
3210.0,39.98,0.344,,11521.94,844.4853,Girth Weld,,,,,,nan,,,2007,Girth Weld_11521.9,False,11521.94,11522.32
3220.0,39.31,0.344,,11561.92,844.9886,Girth Weld,,,,,,nan,,,2007,Girth Weld_11561.9,False,11561.92,11562.3
3230.0,39.79,0.344,,11601.23,846.5251,Girth Weld,,,,,,nan,,,2007,Girth Weld_11601.2,False,11601.23,11601.61
3240.0,39.94,0.344,,11641.02,848.6798,Girth Weld,,,,,,nan,,,2007,Girth Weld_11641.0,False,11641.02,11641.400000000001
3250.0,39.92,0.344,,11680.96,849.7608,Girth Weld,,,,,,nan,,,2007,Girth Weld_11681.0,False,11680.96,11681.34
3260.0,39.94,0.344,,11720.88,850.0503,Girth Weld,,,,,,nan,,,2007,Girth Weld_11720.9,False,11720.88,11721.259999999998
3270.0,40.05,0.344,,11760.82,849.8926,Girth Weld,,,,,,nan,,,2007,Girth Weld_11760.8,False,11760.82,11761.2
3280.0,39.87,0.344,,11800.88,849.4501,Girth Weld,,,,,,nan,,,2007,Girth Weld_11800.9,False,11800.88,11801.259999999998
3290.0,39.96,0.344,,11840.74,850.0526,Girth Weld,,,,,,nan,,,2007,Girth Weld_11840.7,False,11840.74,11841.119999999999
3300.0,40.03,0.344,,11880.7,852.5755,Girth Weld,,,,,,nan,,,2007,Girth Weld_11880.7,False,11880.7,11881.080000000002
3310.0,39.97,0.344,,11920.74,854.8436,Girth Weld,,,,,,nan,,,2007,Girth Weld_11920.7,False,11920.74,11921.119999999999
3320.0,39.98,0.344,,11960.71,856.4503,Girth Weld,,,,,,nan,,,2007,Girth Weld_11960.7,False,11960.71,11961.09
3330.0,39.94,0.344,,12000.69,857.736,Girth Weld,,,,,,nan,,,2007,Girth Weld_12000.7,False,12000.69,12001.07
3340.0,39.92,0.344,,12040.63,858.7553,Girth Weld,,,,,,nan,,,2007,Girth Weld_12040.6,False,12040.63,12041.009999999998
3350.0,39.95,0.344,,12080.55,859.8149,Girth Weld,,,,,,nan,,,2007,Girth Weld_12080.5,False,12080.55,12080.93
3360.0,39.95,0.344,,12120.5,860.9063,Girth Weld,,,,,,nan,,,2007,Girth Weld_12120.5,False,12120.5,12120.880000000001
3370.0,39.96,0.344,,12160.45,861.8663,Girth Weld,,,,,,nan,,,2007,Girth Weld_12160.5,False,12160.45,12160.830000000002
,,0.344,-19.85,12180.29,862.3529,Metal Loss-Manufacturing Anomaly,13.0,,3.78,1.46,,10:32,,,2007,Metal Loss-Manufacturing Anomaly_12180.3,True,12180.29,12180.670000000002
3380.0,39.92,0.344,,12200.4,863.0888,Girth Weld,,,,,,nan,,,2007,Girth Weld_12200.4,False,12200.4,12200.779999999999
3390.0,39.98,0.344,,12240.32,864.6579,Girth Weld,,,,,,nan,,,2007,Girth Weld_12240.3,False,12240.32,12240.7
3400.0,39.97,0.344,,12280.29,865.6199,Girth Weld,,,,,,nan,,,2007,Girth Weld_12280.3,False,12280.29,12280.670000000002
3410.0,39.95,0.344,,12320.26,867.05,Girth Weld,,,,,,nan,,,2007,Girth Weld_12320.3,False,12320.26,12320.64
3420.0,33.5,0.344,,12360.22,869.2006,Girth Weld,,,,,,nan,,,2007,Girth Weld_12360.2,False,12360.22,12360.599999999999
,,0.344,-20.9,12381.12,870.4641,Metal Loss-Manufacturing Anomaly,20.0,,3.66,2.68,,5:02,,,2007,Metal Loss-Manufacturing Anomaly_12381.1,True,12381.12,12381.5
3430.0,39.91,0.344,,12393.72,871.373,Girth Weld,,,,,,nan,,,2007,Girth Weld_12393.7,False,12393.72,12394.099999999999
3440.0,39.93,0.344,,12433.63,874.3226,Girth Weld,,,,,,nan,,,2007,Girth Weld_12433.6,False,12433.63,12434.009999999998
3450.0,39.95,0.344,,12473.56,877.4811,Girth Weld,,,,,,nan,,,2007,Girth Weld_12473.6,False,12473.56,12473.939999999999
3460.0,39.88,0.344,,12513.51,881.2307,Girth Weld,,,,,,nan,,,2007,Girth Weld_12513.5,False,12513.51,12513.89
3470.0,27.75,0.344,,12553.39,884.9166,Girth Weld,,,,,,nan,,,2007,Girth Weld_12553.4,False,12553.39,12553.77
3480.0,40.05,0.344,,12581.14,886.9941,Girth Weld,,,,,,nan,,,2007,Girth Weld_12581.1,False,12581.14,12581.52
3490.0,13.26,0.5,,12621.19,889.3023,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_12621.2,False,12621.19,12621.57
,,,,12627.69,889.6405,Bend,,,,,,nan,,6.3D - 36Â° - Left,2007,Bend_12627.7,False,12627.69,12628.07
3500.0,28.75,0.344,,12634.45,889.9876,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_12634.5,False,12634.45,12634.830000000002
3510.0,39.86,0.344,,12663.2,891.0695,Girth Weld,,,,,,nan,,,2007,Girth Weld_12663.2,False,12663.2,12663.580000000002
3520.0,39.92,0.344,,12703.06,891.7243,Girth Weld,,,,,,nan,,,2007,Girth Weld_12703.1,False,12703.06,12703.439999999999
3530.0,39.98,0.344,,12742.98,891.7812,Girth Weld,,,,,,nan,,,2007,Girth Weld_12743.0,False,12742.98,12743.36
3540.0,39.97,0.344,,12782.96,890.6279,Girth Weld,,,,,,nan,,,2007,Girth Weld_12783.0,False,12782.96,12783.34
3550.0,39.95,0.344,,12822.92,890.2389,Girth Weld,,,,,,nan,,,2007,Girth Weld_12822.9,False,12822.92,12823.3
3560.0,39.94,0.344,,12862.87,889.6225,Girth Weld,,,,,,nan,,,2007,Girth Weld_12862.9,False,12862.87,12863.25
3570.0,40.03,0.344,,12902.81,888.8835,Girth Weld,,,,,,nan,,,2007,Girth Weld_12902.8,False,12902.81,12903.189999999999
3580.0,39.85,0.344,,12942.84,887.4879,Girth Weld,,,,,,nan,,,2007,Girth Weld_12942.8,False,12942.84,12943.220000000001
3590.0,35.73,0.344,,12982.69,885.79,Girth Weld,,,,,,nan,,,2007,Girth Weld_12982.7,False,12982.69,12983.07
3600.0,39.89,0.344,,13018.42,883.8514,Girth Weld,,,,,,nan,,,2007,Girth Weld_13018.4,False,13018.42,13018.8
3610.0,40.0,0.344,,13058.31,881.4757,Girth Weld,,,,,,nan,,,2007,Girth Weld_13058.3,False,13058.31,13058.689999999999
3620.0,39.99,0.344,,13098.3,879.0755,Girth Weld,,,,,,nan,,,2007,Girth Weld_13098.3,False,13098.3,13098.68
3630.0,39.99,0.344,,13138.29,876.6822,Girth Weld,,,,,,nan,,,2007,Girth Weld_13138.3,False,13138.29,13138.670000000002
,,0.344,-0.6,13138.89,876.6469,Metal Loss,33.0,,5.51,0.63,1.61,4:05,NO,,2007,Metal Loss_13138.9,True,13138.89,13139.27
,,0.344,-0.61,13138.9,876.646,Cluster,34.0,,8.47,25.13,1.52,4:35,NO,,2007,Cluster_13138.9,True,13138.9,13139.279999999999
,,0.344,-0.82,13139.11,876.6339,Metal Loss,11.0,,0.98,1.77,,3:15,NO,,2007,Metal Loss_13139.1,True,13139.11,13139.490000000002
3640.0,39.94,0.344,,13178.28,874.3668,Girth Weld,,,,,,nan,,,2007,Girth Weld_13178.3,False,13178.28,13178.66
3650.0,39.99,0.344,,13218.22,871.9099,Girth Weld,,,,,,nan,,,2007,Girth Weld_13218.2,False,13218.22,13218.599999999999
3660.0,39.87,0.344,,13258.21,868.6308,Girth Weld,,,,,,nan,,,2007,Girth Weld_13258.2,False,13258.21,13258.59
3670.0,39.96,0.344,,13298.08,864.5027,Girth Weld,,,,,,nan,,,2007,Girth Weld_13298.1,False,13298.08,13298.46
3680.0,39.97,0.344,,13338.04,859.0906,Girth Weld,,,,,,nan,,,2007,Girth Weld_13338.0,False,13338.04,13338.420000000002
3690.0,15.08,0.5,,13378.0,853.5816,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_13378.0,False,13378.0,13378.380000000001
,,,,13385.85,852.4992,Bend,,,,,,nan,,6.6D - 43Â° - Sag,2007,Bend_13385.9,False,13385.85,13386.23
3700.0,40.02,0.344,,13393.08,851.502,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_13393.1,False,13393.08,13393.46
,,0.344,-0.76,13393.85,851.3967,Cluster,14.0,,2.52,8.15,,11:48,NO,,2007,Cluster_13393.9,True,13393.85,13394.23
3710.0,39.99,0.344,,13433.1,847.2316,Girth Weld,,,,,,nan,,,2007,Girth Weld_13433.1,False,13433.1,13433.48
3720.0,39.97,0.344,,13473.1,853.1646,Girth Weld,,,,,,nan,,,2007,Girth Weld_13473.1,False,13473.1,13473.48
3730.0,40.02,0.344,,13513.06,858.8295,Girth Weld,,,,,,nan,,,2007,Girth Weld_13513.1,False,13513.06,13513.439999999999
3740.0,40.05,0.344,,13553.08,864.0554,Girth Weld,,,,,,nan,,,2007,Girth Weld_13553.1,False,13553.08,13553.46
3750.0,37.55,0.344,,13593.14,868.2145,Girth Weld,,,,,,nan,,,2007,Girth Weld_13593.1,False,13593.14,13593.52
3760.0,38.88,0.344,,13630.69,871.3712,Girth Weld,,,,,,nan,,,2007,Girth Weld_13630.7,False,13630.69,13631.07
3770.0,39.91,0.344,,13669.57,873.693,Girth Weld,,,,,,nan,,,2007,Girth Weld_13669.6,False,13669.57,13669.95
3780.0,24.28,0.344,,13709.48,874.4402,Girth Weld,,,,,,nan,,,2007,Girth Weld_13709.5,False,13709.48,13709.86
3790.0,39.93,0.344,,13733.76,874.6951,Girth Weld,,,,,,nan,,,2007,Girth Weld_13733.8,False,13733.76,13734.14
3800.0,39.99,0.344,,13773.69,873.3893,Girth Weld,,,,,,nan,,,2007,Girth Weld_13773.7,False,13773.69,13774.07
3810.0,39.98,0.344,,13813.67,870.7333,Girth Weld,,,,,,nan,,,2007,Girth Weld_13813.7,False,13813.67,13814.05
,,0.344,-22.51,13836.19,869.0829,Metal Loss-Manufacturing Anomaly,14.0,,0.83,0.87,,10:39,,,2007,Metal Loss-Manufacturing Anomaly_13836.2,True,13836.19,13836.57
3820.0,40.01,0.344,,13853.66,867.9237,Girth Weld,,,,,,nan,,,2007,Girth Weld_13853.7,False,13853.66,13854.04
3830.0,39.95,0.344,,13893.67,865.638,Girth Weld,,,,,,nan,,,2007,Girth Weld_13893.7,False,13893.67,13894.05
3840.0,11.27,0.344,,13933.62,863.9765,Girth Weld,,,,,,nan,,,2007,Girth Weld_13933.6,False,13933.62,13934.0
3850.0,39.87,0.344,,13944.89,863.7232,Girth Weld,,,,,,nan,,,2007,Girth Weld_13944.9,False,13944.89,13945.27
3860.0,27.06,0.344,,13984.76,863.0659,Girth Weld,,,,,,nan,,,2007,Girth Weld_13984.8,False,13984.76,13985.14
3870.0,14.7,0.5,,14011.82,862.6895,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_14011.8,False,14011.82,14012.2
,,,,14019.21,862.5854,Bend,,,,,,nan,,6.6D - 41Â° - Left,2007,Bend_14019.2,False,14019.21,14019.59
3880.0,12.86,0.344,,14026.52,862.466,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_14026.5,False,14026.52,14026.900000000001
3890.0,40.01,0.344,,14039.38,862.2299,Girth Weld,,,,,,nan,,,2007,Girth Weld_14039.4,False,14039.38,14039.759999999998
3900.0,39.97,0.344,,14079.39,860.9956,Girth Weld,,,,,,nan,,,2007,Girth Weld_14079.4,False,14079.39,14079.77
3910.0,40.05,0.344,,14119.36,859.7298,Girth Weld,,,,,,nan,,,2007,Girth Weld_14119.4,False,14119.36,14119.740000000002
3920.0,14.73,0.5,,14159.41,859.2727,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_14159.4,False,14159.41,14159.79
,,,,14166.84,859.2045,Bend,,,,,,nan,,6.1D - 45Â° - Right,2007,Bend_14166.8,False,14166.84,14167.220000000001
3930.0,22.61,0.344,,14174.14,859.1425,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_14174.1,False,14174.14,14174.52
3940.0,40.11,0.344,,14196.75,858.9912,Girth Weld,,,,,,nan,,,2007,Girth Weld_14196.8,False,14196.75,14197.130000000001
3950.0,40.23,0.344,,14236.85,859.3376,Girth Weld,,,,,,nan,,,2007,Girth Weld_14236.9,False,14236.85,14237.23
3960.0,39.97,0.344,,14277.08,859.5892,Girth Weld,,,,,,nan,,,2007,Girth Weld_14277.1,False,14277.08,14277.46
3970.0,39.95,0.344,,14317.04,857.9129,Girth Weld,,,,,,nan,,,2007,Girth Weld_14317.0,False,14317.04,14317.420000000002
3980.0,40.01,0.344,,14356.99,854.5966,Girth Weld,,,,,,nan,,,2007,Girth Weld_14357.0,False,14356.99,14357.369999999999
3990.0,40.0,0.344,,14397.0,850.0425,Girth Weld,,,,,,nan,,,2007,Girth Weld_14397.0,False,14397.0,14397.380000000001
4000.0,40.01,0.344,,14437.0,845.1346,Girth Weld,,,,,,nan,,,2007,Girth Weld_14437.0,False,14437.0,14437.380000000001
4010.0,39.95,0.344,,14477.02,841.1681,Girth Weld,,,,,,nan,,,2007,Girth Weld_14477.0,False,14477.02,14477.400000000001
4020.0,40.06,0.344,,14516.97,838.8856,Girth Weld,,,,,,nan,,,2007,Girth Weld_14517.0,False,14516.97,14517.349999999999
4030.0,39.99,0.344,,14557.02,837.2641,Girth Weld,,,,,,nan,,,2007,Girth Weld_14557.0,False,14557.02,14557.400000000001
4040.0,40.0,0.344,,14597.01,835.1487,Girth Weld,,,,,,nan,,,2007,Girth Weld_14597.0,False,14597.01,14597.39
4050.0,40.03,0.344,,14637.01,831.8602,Girth Weld,,,,,,nan,,,2007,Girth Weld_14637.0,False,14637.01,14637.39
4060.0,6.87,0.344,,14677.04,827.4114,Girth Weld,,,,,,nan,,,2007,Girth Weld_14677.0,False,14677.04,14677.420000000002
4070.0,37.87,0.344,,14683.91,826.5727,Girth Weld,,,,,,nan,,,2007,Girth Weld_14683.9,False,14683.91,14684.29
4080.0,29.69,0.344,,14721.78,823.2322,Girth Weld,,,,,,nan,,,2007,Girth Weld_14721.8,False,14721.78,14722.16
4090.0,6.04,0.344,,14751.47,821.8322,Girth Weld,,,,,,nan,,,2007,Girth Weld_14751.5,False,14751.47,14751.849999999999
4100.0,39.54,0.5,,14757.51,821.6308,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_14757.5,False,14757.51,14757.89
4110.0,40.03,0.5,,14797.06,821.0003,Girth Weld,,,,,,nan,,,2007,Girth Weld_14797.1,False,14797.06,14797.439999999999
4120.0,40.04,0.5,,14837.09,821.375,Girth Weld,,,,,,nan,,,2007,Girth Weld_14837.1,False,14837.09,14837.470000000001
4130.0,5.99,0.344,,14877.13,821.7105,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_14877.1,False,14877.13,14877.509999999998
4140.0,19.19,0.344,,14883.11,821.7476,Girth Weld,,,,,,nan,,,2007,Girth Weld_14883.1,False,14883.11,14883.490000000002
4150.0,39.87,0.344,,14902.3,821.8068,Girth Weld,,,,,,nan,,,2007,Girth Weld_14902.3,False,14902.3,14902.68
,,0.344,-25.71,14928.01,821.8759,Metal Loss,26.0,,0.91,0.94,1.87,1:11,NO,,2007,Metal Loss_14928.0,True,14928.01,14928.39
,,0.344,-25.9,14928.2,821.8769,Cluster,10.0,,1.57,3.31,,1:07,NO,,2007,Cluster_14928.2,True,14928.2,14928.580000000002
4160.0,3.0,0.344,,14942.17,822.0831,Girth Weld,,,,,,nan,,,2007,Girth Weld_14942.2,False,14942.17,14942.55
,,0.344,-1.48,14943.65,822.1251,Cluster,14.0,,3.23,2.16,,6:08,NO,,2007,Cluster_14943.6,True,14943.65,14944.029999999999
,,0.344,-2.22,14944.39,822.146,Cluster,13.0,,4.16,3.35,,05:00,NO,,2007,Cluster_14944.4,True,14944.39,14944.77
,,0.344,-2.27,14944.44,822.1474,Cluster,14.0,,7.08,6.14,,6:48,NO,,2007,Cluster_14944.4,True,14944.44,14944.82
4170.0,4.54,0.5,,14945.17,822.1691,Area Start Installation,,,,,,nan,,"0.500""",2007,Area Start Installation_14945.2,False,14945.17,14945.55
,,0.5,-0.03,14945.2,822.1702,Cluster,10.0,,8.15,6.03,,4:46,NO,,2007,Cluster_14945.2,True,14945.2,14945.580000000002
,,,,14946.03,822.1963,Tap,,,,,,03:00,,,2007,Tap_14946.0,False,14946.03,14946.41
,,,,14947.44,822.2404,Valve,,,,,,nan,,,2007,Valve_14947.4,False,14947.44,14947.82
,,0.5,-3.79,14948.96,822.2879,Cluster,14.0,,5.27,8.84,,4:44,NO,,2007,Cluster_14949.0,True,14948.96,14949.34
4180.0,2.98,0.344,,14949.71,822.3112,Area End Installation,,,,,,nan,,"0.344""",2007,Area End Installation_14949.7,False,14949.71,14950.09
,,0.344,-1.08,14950.79,822.3451,Cluster,15.0,,3.43,3.5,,5:04,NO,,2007,Cluster_14950.8,True,14950.79,14951.170000000002
,,0.344,-1.42,14951.13,822.3559,Cluster,25.0,,6.48,10.52,1.66,3:51,NO,,2007,Cluster_14951.1,True,14951.13,14951.509999999998
4190.0,13.2,0.344,,14952.69,822.4046,Girth Weld,,,,,,nan,,,2007,Girth Weld_14952.7,False,14952.69,14953.07
,,0.344,-0.07,14952.76,822.4068,Metal Loss,31.0,,0.98,4.09,1.86,5:46,NO,,2007,Metal Loss_14952.8,True,14952.76,14953.14
4200.0,39.93,0.344,,14965.88,822.8174,Girth Weld,,,,,,nan,,,2007,Girth Weld_14965.9,False,14965.88,14966.259999999998
4210.0,39.94,0.344,,15005.81,822.6651,Girth Weld,,,,,,nan,,,2007,Girth Weld_15005.8,False,15005.81,15006.189999999999
,,0.344,-28.46,15034.27,821.1598,Metal Loss,11.0,,0.71,0.67,,8:57,NO,,2007,Metal Loss_15034.3,True,15034.27,15034.650000000001
,,0.344,-30.19,15036.01,821.0611,Cluster,13.0,,3.04,3.31,,8:37,NO,,2007,Cluster_15036.0,True,15036.01,15036.39
4220.0,39.91,0.344,,15045.75,820.6058,Girth Weld,,,,,,nan,,,2007,Girth Weld_15045.8,False,15045.75,15046.130000000001
,,0.344,-8.4,15054.15,820.2092,Cluster,15.0,,5.14,5.32,,5:18,NO,,2007,Cluster_15054.1,True,15054.15,15054.529999999999
,,0.344,-20.74,15066.49,819.6019,Metal Loss,12.0,,1.1,1.02,,3:09,NO,,2007,Metal Loss_15066.5,True,15066.49,15066.869999999999
,,0.344,-27.23,15072.99,819.2671,Metal Loss,14.0,,0.75,0.59,,8:29,NO,,2007,Metal Loss_15073.0,True,15072.99,15073.369999999999
,,0.344,-28.43,15074.18,819.2055,Metal Loss,18.0,,0.71,0.71,,9:28,NO,,2007,Metal Loss_15074.2,True,15074.18,15074.560000000001
,,0.344,-29.49,15075.24,819.1509,Cluster,29.0,,4.66,2.95,1.68,9:16,NO,,2007,Cluster_15075.2,True,15075.24,15075.619999999999
,,0.344,-30.08,15075.83,819.1202,Metal Loss,22.0,,0.71,0.71,1.88,9:38,NO,,2007,Metal Loss_15075.8,True,15075.83,15076.21
,,0.344,-32.52,15078.28,818.9927,Metal Loss,11.0,,0.71,0.79,,9:17,NO,,2007,Metal Loss_15078.3,True,15078.28,15078.66
,,0.344,-32.83,15078.58,818.9767,Cluster,25.0,,3.47,1.28,1.76,9:18,NO,,2007,Cluster_15078.6,True,15078.58,15078.96
,,0.344,-38.97,15084.72,818.6563,Cluster,18.0,,1.81,6.3,,3:44,NO,,2007,Cluster_15084.7,True,15084.72,15085.099999999999
4230.0,39.9,0.344,,15085.66,818.6073,Girth Weld,,,,,,nan,,,2007,Girth Weld_15085.7,False,15085.66,15086.04
,,0.344,-0.73,15086.39,818.5693,Cluster,19.0,,4.32,10.74,,3:12,NO,,2007,Cluster_15086.4,True,15086.39,15086.77
4240.0,39.89,0.344,,15125.56,816.613,Girth Weld,,,,,,nan,,,2007,Girth Weld_15125.6,False,15125.56,15125.939999999999
4250.0,39.83,0.344,,15165.45,814.6774,Girth Weld,,,,,,nan,,,2007,Girth Weld_15165.5,False,15165.45,15165.830000000002
4260.0,39.29,0.344,,15205.28,812.8523,Girth Weld,,,,,,nan,,,2007,Girth Weld_15205.3,False,15205.28,15205.66
4270.0,10.88,0.344,,15244.57,811.1183,Girth Weld,,,,,,nan,,,2007,Girth Weld_15244.6,False,15244.57,15244.95
4280.0,9.98,0.344,,15255.45,810.6447,Girth Weld,,,,,,nan,,,2007,Girth Weld_15255.5,False,15255.45,15255.830000000002
4290.0,9.47,0.5,,15265.43,810.2097,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_15265.4,False,15265.43,15265.810000000001
,,,,15270.01,810.0105,Bend,,,,,,nan,,5.9D - 24Â° - Over,2007,Bend_15270.0,False,15270.01,15270.39
4300.0,16.59,0.344,,15274.9,809.7983,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_15274.9,False,15274.9,15275.279999999999
,,0.344,-0.78,15275.68,809.7644,Metal Loss,10.0,,2.09,0.71,,4:48,NO,,2007,Metal Loss_15275.7,True,15275.68,15276.060000000001
4310.0,8.57,0.5,,15291.49,809.0989,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_15291.5,False,15291.49,15291.869999999999
,,,,15295.9,808.9181,Bend,,,,,,nan,,5.9D - 21Â° - Sag,2007,Bend_15295.9,False,15295.9,15296.279999999999
4320.0,20.46,0.344,,15300.06,808.7529,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_15300.1,False,15300.06,15300.439999999999
4330.0,12.38,0.5,,15320.52,806.7525,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_15320.5,False,15320.52,15320.900000000001
,,,,15326.71,805.5315,Bend,,,,,,nan,,6.3D - 33Â° - Sag,2007,Bend_15326.7,False,15326.71,15327.09
4340.0,12.99,0.344,,15332.91,804.318,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_15332.9,False,15332.91,15333.29
,,0.344,-12.78,15345.69,802.6387,Metal Loss,24.0,,2.05,6.02,1.83,4:20,NO,,2007,Metal Loss_15345.7,True,15345.69,15346.07
4350.0,9.05,0.5,,15345.9,802.6233,Girth Weld,,,,,,nan,,"0.500""",2007,Girth Weld_15345.9,False,15345.9,15346.279999999999
,,,,15350.31,802.2949,Bend,,,,,,nan,,5.3D - 27Â° - Over,2007,Bend_15350.3,False,15350.31,15350.689999999999
4360.0,11.94,0.344,,15354.94,801.9484,Girth Weld,,,,,,nan,,"0.344""",2007,Girth Weld_15354.9,False,15354.94,15355.32
,,0.344,-2.52,15357.47,801.7592,Metal Loss,16.0,,1.1,1.18,,5:03,NO,,2007,Metal Loss_15357.5,True,15357.47,15357.849999999999
4370.0,39.99,0.344,,15366.89,801.0799,Girth Weld,,,,,,nan,,,2007,Girth Weld_15366.9,False,15366.89,15367.27
4380.0,11.31,0.5,,15406.87,804.4363,Area Start Installation,,,,,,nan,,"0.500""",2007,Area Start Installation_15406.9,False,15406.87,15407.25
,,,,15412.8,804.5082,Valve,,,,,,nan,,,2007,Valve_15412.8,False,15412.8,15413.18
4390.0,25.16,0.344,,15418.18,804.5844,Area End Installation,,,,,,nan,,"0.344""",2007,Area End Installation_15418.2,False,15418.18,15418.560000000001
,,0.344,-15.48,15433.66,805.158,Metal Loss-Manufacturing Anomaly,20.0,,0.51,0.71,,9:43,,,2007,Metal Loss-Manufacturing Anomaly_15433.7,True,15433.66,15434.04
4400.0,40.14,0.344,,15443.34,805.5929,Girth Weld,,,,,,nan,,,2007,Girth Weld_15443.3,False,15443.34,15443.720000000001
4410.0,40.14,0.344,,15483.48,807.0763,Girth Weld,,,,,,nan,,,2007,Girth Weld_15483.5,False,15483.48,15483.86
4420.0,39.94,0.344,,15523.62,809.2363,Girth Weld,,,,,,nan,,,2007,Girth Weld_15523.6,False,15523.62,15524.0
4430.0,40.03,0.344,,15563.57,812.1721,Girth Weld,,,,,,nan,,,2007,Girth Weld_15563.6,False,15563.57,15563.95
,,0.344,-0.71,15564.27,812.2334,Cluster,24.0,,2.72,2.28,1.79,4:49,NO,,2007,Cluster_15564.3,True,15564.27,15564.650000000001
4440.0,40.04,0.344,,15603.59,815.6691,Girth Weld,,,,,,nan,,,2007,Girth Weld_15603.6,False,15603.59,15603.970000000001
4450.0,40.03,0.344,,15643.63,819.0653,Girth Weld,,,,,,nan,,,2007,Girth Weld_15643.6,False,15643.63,15644.009999999998
4460.0,39.98,0.344,,15683.66,821.7523,Girth Weld,,,,,,nan,,,2007,Girth Weld_15683.7,False,15683.66,15684.04
,,,,15720.98,822.9972,Above Ground Marker,,,,,,nan,,AGM 3,2007,Above Ground Marker_15721.0,False,15720.98,15721.36
4470.0,39.87,0.344,,15723.64,823.0141,Girth Weld,,,,,,nan,,,2007,Girth Weld_15723.6,False,15723.64,15724.02
4480.0,40.01,0.344,,15763.51,823.1364,Girth Weld,,,,,,nan,,,2007,Girth Weld_15763.5,False,15763.51,15763.89
4490.0,34.78,0.344,,15803.52,824.4619,Girth Weld,,,,,,nan,,,2007,Girth Weld_15803.5,False,15803.52,15803.900000000001
4500.0,39.97,0.344,,15838.3,825.8162,Girth Weld,,,,,,nan,,,2007,Girth Weld_15838.3,False,15838.3,15838.68
4510.0,40.01,0.344,,15878.27,827.2829,Girth Weld,,,,,,nan,,,2007,Girth Weld_15878.3,False,15878.27,15878.650000000001
4520.0,40.08,0.344,,15918.28,828.5738,Girth Weld,,,,,,nan,,,2007,Girth Weld_15918.3,False,15918.28,15918.66
,,0.344,-39.71,15957.99,829.9187,Metal Loss,10.0,,0.75,0.83,,3:57,NO,,2007,Metal Loss_15958.0,True,15957.99,15958.369999999999
4530.0,40.02,0.344,,15958.36,829.9381,Girth Weld,,,,,,nan,,,2007,Girth Weld_15958.4,False,15958.36,15958.740000000002
4540.0,39.88,0.344,,15998.39,833.1906,Girth Weld,,,,,,nan,,,2007,Girth Weld_15998.4,False,15998.39,15998.77
,,0.344,-2.36,16000.75,833.4444,Metal Loss-Manufacturing Anomaly,16.0,,0.71,0.59,,7:30,,,2007,Metal Loss-Manufacturing Anomaly_16000.8,True,16000.75,16001.130000000001
,,0.344,-18.8,16017.19,835.2104,Metal Loss-Manufacturing Anomaly,10.0,,0.79,0.71,,7:29,,,2007,Metal Loss-Manufacturing Anomaly_16017.2,True,16017.19,16017.57
4550.0,39.0,0.344,,16038.27,837.2717,Girth Weld,,,,,,nan,,,2007,Girth Weld_16038.3,False,16038.27,16038.650000000001
4560.0,39.98,0.344,,16077.27,840.8298,Girth Weld,,,,,,nan,,,2007,Girth Weld_16077.3,False,16077.27,16077.650000000001
4570.0,39.94,0.344,,16117.25,844.8402,Girth Weld,,,,,,nan,,,2007,Girth Weld_16117.2,False,16117.25,16117.630000000001
4580.0,39.99,0.344,,16157.19,847.8642,Girth Weld,,,,,,nan,,,2007,Girth Weld_16157.2,False,16157.19,16157.57
4590.0,39.95,0.344,,16197.17,849.4126,Girth Weld,,,,,,nan,,,2007,Girth Weld_16197.2,False,16197.17,16197.55
