Joint num,Joint len [ft],t [in],to u/s w. [ft],log dist. [ft],Height [ft],event,depth [%],ID Reduction [%],length [in],width [in],P2 Burst / MOP,o'clock,internal,comment
,,,,2874.56,963.4886,Bend,,,,,,,,5.9D - 21° - Left
940,30.78,0.344,,2878.92,964.0185,Girth Weld,,,,,,,,"0.344"""
950,40.03,0.344,,2909.7,967.5674,Girth Weld,,,,,,,,
960,39.94,0.344,,2949.73,970.3446,Girth Weld,,,,,,,,
,,0.344,-32.93,2982.66,971.2751,metal loss,10,,0.51,0.71,,11:01,YES,
970,39.79,0.344,,2989.67,971.4205,Girth Weld,,,,,,,,
,,0.344,-1.76,2991.42,971.457,Cluster,12,,0.77,1.72,,9:37,YES,
,,0.344,-1.94,2991.61,971.4608,metal loss,13,,0.55,0.55,,9:42,YES,
,,0.344,-3.94,2993.61,971.5022,Cluster,10,,1.58,1.36,,9:30,YES,
,,0.344,-4.24,2993.91,971.5085,Cluster,12,,1.63,0.67,,2:16,YES,
,,0.344,-4.83,2994.5,971.5207,Cluster,10,,4.84,2.81,,9:17,YES,
,,0.344,-12.41,3002.07,971.677,metal loss,10,,0.51,0.55,,8:30,YES,
,,0.344,-12.57,3002.24,971.6804,metal loss,11,,0.67,0.71,,8:29,YES,
,,0.344,-28.38,3018.05,971.9395,metal loss,10,,0.63,0.63,,3:09,YES,
,,0.344,-30.21,3019.88,971.941,Cluster,10,,1.76,1.24,,8:31,YES,
980,39.99,0.344,,3029.46,971.9483,Girth Weld,,,,,,,,
,,0.344,-21.59,3051.05,971.9481,Cluster,10,,4.02,0.71,,4:35,YES,
,,0.344,-25.37,3054.83,971.9454,Cluster,10,,3.74,1.05,,4:18,YES,
,,0.344,-25.79,3055.25,971.945,metal loss,11,,0.67,0.71,,4:22,YES,
,,0.344,-27.05,3056.51,971.9441,Cluster,11,,3.52,0.69,,4:17,YES,
,,0.344,-27.34,3056.8,971.9439,Cluster,11,,4.99,3.83,,7:17,YES,
,,0.344,-28.41,3057.87,971.9432,Cluster,11,,3.41,1.2,,4:12,YES,
,,0.344,-28.89,3058.36,971.9428,metal loss,12,,0.71,0.55,,4:17,YES,
,,0.344,-29.11,3058.57,971.9426,Cluster,11,,6.88,2.77,,3:57,YES,
,,0.344,-29.62,3059.08,971.9421,Cluster,11,,9,3.37,,7:18,YES,
,,0.344,-29.81,3059.27,971.942,metal loss,10,,0.91,0.71,,4:14,YES,
,,0.344,-30.3,3059.76,971.9415,Cluster,11,,13.36,5.59,,3:47,YES,
,,0.344,-30.45,3059.92,971.9414,Cluster,11,,7.37,3.88,,7:18,YES,
,,0.344,-31.23,3060.69,971.9407,Cluster,15,,7.08,1.34,,7:42,YES,
,,0.344,-31.92,3061.38,971.9401,Cluster,15,,11.11,2.28,,7:39,YES,
,,0.344,-32.01,3061.47,971.94,Cluster,15,,4.7,5.41,,3:59,YES,
,,0.344,-32.51,3061.97,971.9396,Cluster,10,,6.55,5.03,,3:37,YES,
,,0.344,-32.95,3062.41,971.9392,Cluster,13,,5.17,3.33,,7:34,YES,
,,0.344,-33.63,3063.09,971.9386,Cluster,11,,5.63,3.44,,7:39,YES,
,,0.344,-34.09,3063.55,971.9382,Cluster,11,,4.67,2.98,,3:46,YES,
,,0.344,-39.61,3069.07,971.929,Cluster,12,,4.69,5.59,,8:17,YES,
990,39.95,0.344,,3069.45,971.9267,Girth Weld,,,,,,,,
,,,,3075.31,971.8719,Tap,,,,,,12:00,,
1000,38.43,0.344,,3109.4,971.1733,Girth Weld,,,,,,,,
1010,40.03,0.344,,3147.83,970.2689,Girth Weld,,,,,,,,
1020,40.03,0.344,,3187.86,968.6961,Girth Weld,,,,,,,,
1030,40.03,0.344,,3227.9,967.0689,Girth Weld,,,,,,,,
1040,40.06,0.344,,3267.93,965.3444,Girth Weld,,,,,,,,
1050,40.12,0.344,,3307.98,963.5412,Girth Weld,,,,,,,,
,,0.344,-39.24,3347.22,961.6587,metal loss,14,,1.18,2.24,,3:48,NO,
,,0.344,-39.32,3347.3,961.6548,metal loss,11,,0.71,0.94,,7:29,NO,
1060,40.05,0.344,,3348.1,961.6137,Girth Weld,,,,,,,,
1070,40.01,0.344,,3388.15,959.366,Girth Weld,,,,,,,,
,,0.344,-17.89,3406.04,958.2962,Cluster,18,,2.56,2.85,,5:32,NO,
,,0.344,-39.15,3427.3,957.0421,metal loss,12,,0.87,1.93,,7:45,NO,
1080,39.96,0.344,,3428.16,956.9925,Girth Weld,,,,,,,,
1090,39.99,0.344,,3468.12,955.056,Girth Weld,,,,,,,,
1100,39.94,0.344,,3508.11,953.1344,Girth Weld,,,,,,,,
1110,40.03,0.344,,3548.05,951.4131,Girth Weld,,,,,,,,
1120,40,0.344,,3588.09,949.802,Girth Weld,,,,,,,,
1130,40,0.344,,3628.09,947.3644,Girth Weld,,,,,,,,
1140,39.94,0.344,,3668.09,944.505,Girth Weld,,,,,,,,
1150,34.57,0.344,,3708.03,941.5769,Girth Weld,,,,,,,,
1160,39.51,0.344,,3742.6,939.0385,Girth Weld,,,,,,,,
1170,39.93,0.344,,3782.11,936.3824,Girth Weld,,,,,,,,
1180,39.98,0.344,,3822.05,934.0519,Girth Weld,,,,,,,,
1190,39.96,0.344,,3862.02,931.6898,Girth Weld,,,,,,,,
1200,39.97,0.344,,3901.98,929.1844,Girth Weld,,,,,,,,
1210,39.97,0.344,,3941.95,926.6442,Girth Weld,,,,,,,,
1220,39.94,0.344,,3981.92,924.1225,Girth Weld,,,,,,,,
1230,39.92,0.344,,4021.85,921.9051,Girth Weld,,,,,,,,
1240,28.1,0.344,,4061.77,919.6469,Girth Weld,,,,,,,,
1250,39.94,0.344,,4089.87,918.1456,Girth Weld,,,,,,,,
1260,39.91,0.344,,4129.81,917.3029,Girth Weld,,,,,,,,
1270,39.9,0.344,,4169.72,915.6626,Girth Weld,,,,,,,,
1280,39.95,0.344,,4209.61,913.9698,Girth Weld,,,,,,,,
1290,40,0.344,,4249.57,912.4998,Girth Weld,,,,,,,,
1300,40.15,0.344,,4289.56,911.4006,Girth Weld,,,,,,,,
1310,40.17,0.344,,4329.71,910.3436,Girth Weld,,,,,,,,
1320,40.06,0.344,,4369.88,909.4641,Girth Weld,,,,,,,,
1330,40.07,0.344,,4409.94,908.813,Girth Weld,,,,,,,,
1340,40.03,0.344,,4450.01,908.1672,Girth Weld,,,,,,,,
1350,40.04,0.344,,4490.05,907.6447,Girth Weld,,,,,,,,
1360,40.06,0.344,,4530.09,907.7787,Girth Weld,,,,,,,,
,,0.344,-0.81,4530.89,907.7889,metal loss,15,,1.02,2.32,,4:11,NO,
1370,40.03,0.344,,4570.15,908.2358,Girth Weld,,,,,,,,
,,0.344,-38.94,4609.09,909.2472,Cluster,17,,3.47,6.35,,6:16,NO,
1380,40.02,0.344,,4610.18,909.2817,Girth Weld,,,,,,,,
1390,39.94,0.344,,4650.21,910.5192,Girth Weld,,,,,,,,
1400,39.97,0.344,,4690.15,911.8068,Girth Weld,,,,,,,,
1410,39.97,0.344,,4730.12,912.9988,Girth Weld,,,,,,,,
1420,39.99,0.344,,4770.09,913.118,Girth Weld,,,,,,,,
1430,39.93,0.344,,4810.08,912.5711,Girth Weld,,,,,,,,
1440,40.04,0.344,,4850.01,911.6846,Girth Weld,,,,,,,,
1450,27.99,0.344,,4890.05,910.4276,Girth Weld,,,,,,,,
1460,39.87,0.344,,4918.04,909.604,Girth Weld,,,,,,,,
,,,,4957.85,908.7731,Cathodic Protection Point,,,,,,6:00,,
1470,39.81,0.344,,4957.91,908.7721,Girth Weld,,,,,,,,
1480,36.5,0.344,,4997.71,907.9843,Girth Weld,,,,,,,,
,,0.344,-26.58,5024.29,907.4257,metal loss-manufacturing anomaly,15,,0.67,0.55,,3:43,N/A,
1490,40.04,0.344,,5034.22,907.2056,Girth Weld,,,,,,,,
1500,30.47,0.344,,5074.25,906.3419,Girth Weld,,,,,,,,
1510,40.02,0.344,,5104.73,905.6904,Girth Weld,,,,,,,,
1520,40.11,0.344,,5144.75,904.8239,Girth Weld,,,,,,,,
1530,38.74,0.344,,5184.86,903.9136,Girth Weld,,,,,,,,
,,,,5202.44,903.8152,Above Ground Marker,,,,,,,,AGM 1
1540,40.05,0.344,,5223.59,903.8025,Girth Weld,,,,,,,,
1550,39.88,0.344,,5263.65,903.9213,Girth Weld,,,,,,,,
,,0.344,-28.9,5292.54,904.1469,Cluster,14,,2.69,2.22,,6:14,NO,
,,0.344,-30.37,5294.02,904.1541,Cluster,12,,1.72,0.69,,5:59,NO,
1560,40.03,0.344,,5303.53,904.1931,Girth Weld,,,,,,,,
,,0.344,-38.65,5342.18,904.168,Cluster,43,,6.68,36.53,1.45,3:18,NO,
1570,40.11,0.344,,5343.56,904.1627,Girth Weld,,,,,,,,
,,0.344,-0.79,5344.35,904.1596,Cluster,16,,2,12.63,,9:41,NO,
,,0.344,-0.99,5344.55,904.1589,Cluster,16,,1.02,3.67,,2:33,NO,
,,0.344,-17.57,5361.13,904.1821,Cluster,21,,4.13,6.03,1.76,6:20,NO,
,,0.344,-18.29,5361.85,904.1877,metal loss,15,,0.94,0.55,,6:06,NO,
,,0.344,-18.4,5361.96,904.1885,metal loss,29,,1.73,1.14,1.83,6:40,NO,
,,0.344,-18.47,5362.03,904.1891,Cluster,54,,4.21,2.14,1.46,7:18,NO,
,,0.344,-18.58,5362.14,904.19,Cluster,28,,4.5,2.77,1.69,4:39,NO,
,,0.344,-18.94,5362.5,904.1928,Cluster,40,,4.68,5.72,1.57,7:01,NO,
,,0.344,-19.06,5362.62,904.1937,Cluster,13,,2.05,2.33,,4:50,NO,
,,0.344,-19.46,5363.02,904.1969,metal loss,32,,3.31,1.65,1.72,4:26,NO,
,,0.344,-19.59,5363.15,904.1979,Cluster,19,,3.37,8.23,,6:46,NO,
,,0.344,-20.03,5363.59,904.2013,Cluster,37,,1.91,2.2,1.79,4:21,NO,
,,0.344,-21.03,5364.59,904.2091,Cluster,35,,2.35,2.12,1.77,4:25,NO,
,,0.344,-21.51,5365.07,904.213,Cluster,22,,4.85,2.56,1.73,4:23,NO,
,,0.344,-22.16,5365.72,904.2181,Cluster,59,,14.66,17.01,1.08,5:34,NO,
,,0.344,-22.31,5365.86,904.2192,Cluster,11,,3.59,5.2,,4:43,NO,
,,0.344,-35.87,5379.43,904.345,Cluster,40,,3.78,19.14,1.63,4:36,NO,
1580,40.03,0.344,,5383.67,904.4144,Girth Weld,,,,,,,,
1590,22.89,0.344,,5423.7,905.5913,Girth Weld,,,,,,,,
1600,40.07,0.344,,5446.59,906.3864,Girth Weld,,,,,,,,
,,0.344,-0.74,5447.33,906.411,Cluster,12,,2.09,16.57,,6:42,NO,
,,0.344,-12.36,5458.94,906.7782,metal loss-manufacturing anomaly,11,,3.82,1.06,,12:40,N/A,
1610,40.06,0.344,,5486.66,907.8257,Girth Weld,,,,,,,,
1620,22.95,0.344,,5526.72,909.6275,Girth Weld,,,,,,,,
1630,40.09,0.344,,5549.67,910.6666,Girth Weld,,,,,,,,
1640,15.29,0.344,,5589.75,912.5187,Girth Weld,,,,,,,,
1650,40.04,0.344,,5605.04,913.2674,Girth Weld,,,,,,,,
1660,40.03,0.344,,5645.08,915.212,Girth Weld,,,,,,,,
1670,40.01,0.344,,5685.11,917.2726,Girth Weld,,,,,,,,
1680,26.47,0.344,,5725.11,919.0636,Girth Weld,,,,,,,,
1690,40.04,0.344,,5751.59,919.9531,Girth Weld,,,,,,,,
1700,40.01,0.344,,5791.63,921.1714,Girth Weld,,,,,,,,
,,0.344,-39.06,5830.69,921.9398,Cluster,19,,1.66,6.26,,6:47,NO,
1710,40.01,0.344,,5831.64,921.9583,Girth Weld,,,,,,,,
1720,40.01,0.344,,5871.65,921.9821,Girth Weld,,,,,,,,
1730,39.98,0.344,,5911.65,921.4777,Girth Weld,,,,,,,,
1740,39.98,0.344,,5951.63,919.4853,Girth Weld,,,,,,,,
1750,40.04,0.344,,5991.61,916.8787,Girth Weld,,,,,,,,
1760,36.91,0.344,,6031.65,913.6173,Girth Weld,,,,,,,,
1770,40.03,0.344,,6068.56,910.3758,Girth Weld,,,,,,,,
1780,40.03,0.344,,6108.59,906.8486,Girth Weld,,,,,,,,
1790,39.99,0.344,,6148.61,903.5946,Girth Weld,,,,,,,,
1800,40.02,0.344,,6188.61,900.4542,Girth Weld,,,,,,,,
1810,40.11,0.344,,6228.63,897.2149,Girth Weld,,,,,,,,
1820,40.22,0.344,,6268.74,893.2467,Girth Weld,,,,,,,,
1830,40.09,0.344,,6308.97,889.1443,Girth Weld,,,,,,,,
1840,40.05,0.344,,6349.05,887.8045,Girth Weld,,,,,,,,
1850,19.37,0.344,,6389.1,885.4031,Girth Weld,,,,,,,,
1860,39.91,0.344,,6408.47,883.5791,Girth Weld,,,,,,,,
1870,39.99,0.344,,6448.38,879.9305,Girth Weld,,,,,,,,
1880,39.99,0.344,,6488.37,876.2629,Girth Weld,,,,,,,,
1890,39.98,0.344,,6528.36,872.6116,Girth Weld,,,,,,,,
1900,39.98,0.344,,6568.34,868.9932,Girth Weld,,,,,,,,
1910,39.96,0.344,,6608.32,865.4877,Girth Weld,,,,,,,,
1920,39.98,0.344,,6648.28,862.113,Girth Weld,,,,,,,,
1930,39.91,0.344,,6688.26,858.7998,Girth Weld,,,,,,,,
1940,39.93,0.344,,6728.16,855.4117,Girth Weld,,,,,,,,
1950,31.91,0.344,,6768.1,852.0526,Girth Weld,,,,,,,,
1960,39.98,0.344,,6800.01,849.7043,Girth Weld,,,,,,,,
1970,20.62,0.344,,6839.98,847.2605,Girth Weld,,,,,,,,
1980,39.97,0.344,,6860.61,846.2284,Girth Weld,,,,,,,,
1990,39.98,0.344,,6900.58,844.0846,Girth Weld,,,,,,,,
,,0.344,-23.68,6924.26,842.9271,metal loss-manufacturing anomaly,14,,0.59,0.55,,12:28,N/A,
,,0.344,-24.96,6925.53,842.8694,metal loss-manufacturing anomaly,20,,0.55,0.59,,9:45,N/A,
2000,39.92,0.344,,6940.56,842.2147,Girth Weld,,,,,,,,
,,0.344,-39.06,6979.62,840.5392,metal loss,17,,1.65,2.01,,5:21,NO,
,,0.344,-39.08,6979.64,840.5385,metal loss,25,,1.26,3.9,1.86,6:42,NO,
2010,32.83,0.344,,6980.48,840.5042,Girth Weld,,,,,,,,
2020,39.94,0.344,,7013.31,839.3914,Girth Weld,,,,,,,,
,,0.344,-39.05,7052.36,838.1095,Cluster,18,,1.99,5.38,,3:50,NO,
2030,39.99,0.344,,7053.25,838.0806,Girth Weld,,,,,,,,
2040,39.96,0.344,,7093.24,836.9602,Girth Weld,,,,,,,,
2050,39.97,0.344,,7133.2,836.0004,Girth Weld,,,,,,,,
2060,39.9,0.344,,7173.17,835.0986,Girth Weld,,,,,,,,
2070,40.03,0.344,,7213.06,834.4001,Girth Weld,,,,,,,,
2080,39.98,0.344,,7253.1,834.0561,Girth Weld,,,,,,,,
2090,40.04,0.344,,7293.07,833.2611,Girth Weld,,,,,,,,
,,,,7297.32,833.1656,Tap,,,,,,12:00,,
,,,,7299.32,833.12,Tap,,,,,,12:00,,
2100,40.01,0.344,,7333.11,832.2681,Girth Weld,,,,,,,,
2110,39.89,0.344,,7373.12,830.4167,Girth Weld,,,,,,,,
2120,39.95,0.344,,7413.01,828.3557,Girth Weld,,,,,,,,
2130,39.93,0.344,,7452.96,826.2356,Girth Weld,,,,,,,,
2140,39.98,0.344,,7492.89,823.6085,Girth Weld,,,,,,,,
2150,39.97,0.344,,7532.87,821.0858,Girth Weld,,,,,,,,
2160,39.87,0.344,,7572.84,818.928,Girth Weld,,,,,,,,
2170,39.87,0.344,,7612.71,816.841,Girth Weld,,,,,,,,
,,0.344,-24.7,7637.41,815.6535,metal loss,19,,1.38,1.18,,9:07,NO,
,,0.344,-25.04,7637.75,815.6391,metal loss,14,,1.46,1.53,,9:05,NO,
,,0.344,-26.09,7638.8,815.5944,Cluster,11,,3.06,3.46,,9:38,NO,
,,0.344,-38.53,7651.24,815.0541,Cluster,11,,3.41,1.38,,6:27,NO,
2180,39.94,0.344,,7652.58,814.9942,Girth Weld,,,,,,,,
2190,39.87,0.344,,7692.53,813.2727,Girth Weld,,,,,,,,
2200,39.9,0.344,,7732.39,811.7682,Girth Weld,,,,,,,,
2210,10.89,0.344,,7772.29,810.3112,Girth Weld,,,,,,,,
2220,39.94,0.344,,7783.18,810.0367,Girth Weld,,,,,,,,
2230,39.99,0.344,,7823.12,809.2136,Girth Weld,,,,,,,,
2240,39.94,0.344,,7863.12,808.5754,Girth Weld,,,,,,,,
2250,39.65,0.344,,7903.06,807.9884,Girth Weld,,,,,,,,
2260,39.89,0.344,,7942.72,807.2028,Girth Weld,,,,,,,,
2270,39.89,0.344,,7982.61,806.5524,Girth Weld,,,,,,,,
2280,39.95,0.344,,8022.5,806.4375,Girth Weld,,,,,,,,
2290,39.99,0.344,,8062.45,807.2133,Girth Weld,,,,,,,,
2300,39.99,0.344,,8102.44,808.5642,Girth Weld,,,,,,,,
2310,39.99,0.344,,8142.43,809.9439,Girth Weld,,,,,,,,
2320,39.93,0.344,,8182.43,811.2744,Girth Weld,,,,,,,,
2330,39.95,0.344,,8222.36,812.5486,Girth Weld,,,,,,,,
2340,40.01,0.344,,8262.31,813.6609,Girth Weld,,,,,,,,
2350,40,0.344,,8302.32,814.5975,Girth Weld,,,,,,,,
2360,39.94,0.344,,8342.32,815.1418,Girth Weld,,,,,,,,
2370,40.05,0.344,,8382.27,815.3629,Girth Weld,,,,,,,,
,,0.344,-39.13,8421.4,815.445,metal loss,11,,0.87,1.1,,6:52,NO,
2380,25.12,0.344,,8422.32,815.4437,Girth Weld,,,,,,,,
2390,40,0.344,,8447.44,814.7974,Girth Weld,,,,,,,,
2400,40.03,0.344,,8487.44,812.2403,Girth Weld,,,,,,,,
2410,39.98,0.344,,8527.47,810.0484,Girth Weld,,,,,,,,
2420,39.96,0.344,,8567.45,808.6726,Girth Weld,,,,,,,,
2430,39.9,0.344,,8607.42,808.114,Girth Weld,,,,,,,,
2440,38.73,0.344,,8647.32,807.7303,Girth Weld,,,,,,,,
2450,39.92,0.344,,8686.05,807.5471,Girth Weld,,,,,,,,
,,0.344,-38.95,8725,807.2579,Cluster,10,,3.94,4.61,,4:50,NO,
2460,39.92,0.344,,8725.97,807.2478,Girth Weld,,,,,,,,
2470,39.93,0.344,,8765.89,807.0731,Girth Weld,,,,,,,,
2480,39.88,0.344,,8805.81,807.2022,Girth Weld,,,,,,,,
2490,39.94,0.344,,8845.69,807.3927,Girth Weld,,,,,,,,
2500,39.92,0.344,,8885.64,807.6392,Girth Weld,,,,,,,,
,,0.344,-3.72,8889.36,807.6581,metal loss-manufacturing anomaly,13,,0.47,0.71,,10:52,N/A,
,,0.344,-4.23,8889.87,807.6607,metal loss-manufacturing anomaly,14,,1.61,0.71,,7:07,N/A,
2510,37.76,0.344,,8925.56,807.9329,Girth Weld,,,,,,,,
2520,40.08,0.344,,8963.32,808.0802,Girth Weld,,,,,,,,
2530,40,0.344,,9003.4,808.0476,Girth Weld,,,,,,,,
2540,39.98,0.344,,9043.4,806.762,Girth Weld,,,,,,,,
2550,39.97,0.344,,9083.38,802.8685,Girth Weld,,,,,,,,
2560,39.94,0.344,,9123.35,798.7699,Girth Weld,,,,,,,,
2570,39.94,0.344,,9163.29,795.0676,Girth Weld,,,,,,,,
2580,39.97,0.344,,9203.22,791.9365,Girth Weld,,,,,,,,
2590,40.02,0.344,,9243.19,788.9919,Girth Weld,,,,,,,,
2600,40.06,0.344,,9283.21,786.8014,Girth Weld,,,,,,,,
,,,,9308.18,786.278,Tap,,,,,,12:00,,
2610,40.05,0.344,,9323.26,786.262,Girth Weld,,,,,,,,
2620,39.91,0.344,,9363.32,785.4457,Girth Weld,,,,,,,,
2630,11.48,0.5,,9403.23,782.2962,Girth Weld,,,,,,,,"0.500"""
,,,,9408.73,781.8069,Bend,,,,,,,,6.0D - 32° - Sag
2640,40.06,0.344,,9414.71,781.277,Girth Weld,,,,,,,,"0.344"""
2650,16.85,0.344,,9454.77,778.5411,Girth Weld,,,,,,,,
2660,20.51,0.344,,9471.61,780.3274,Girth Weld,,,,,,,,
,,0.344,-1.44,9473.05,780.4636,metal loss,10,,0.71,0.59,,5:15,YES,
2670,40.1,0.344,,9492.12,781.8155,Girth Weld,,,,,,,,
2680,40.07,0.344,,9532.22,783.5125,Girth Weld,,,,,,,,
2690,40.02,0.344,,9572.29,787.0344,Girth Weld,,,,,,,,
2700,40.02,0.344,,9612.32,791.9578,Girth Weld,,,,,,,,
2710,36.59,0.344,,9652.34,798.4054,Girth Weld,,,,,,,,
2720,40.05,0.344,,9688.93,804.5102,Girth Weld,,,,,,,,
2730,40,0.344,,9728.98,811.5882,Girth Weld,,,,,,,,
2740,8.37,0.5,,9768.99,818.5523,Girth Weld,,,,,,,,"0.500"""
,,,,9773.11,819.2255,Bend,,,,,,,,5.8D - 20° - Over
2750,14.99,0.344,,9777.36,819.9203,Girth Weld,,,,,,,,"0.344"""
2760,40,0.344,,9792.35,822.3859,Girth Weld,,,,,,,,
2770,37.65,0.344,,9832.35,826.7875,Girth Weld,,,,,,,,
2780,40.01,0.344,,9869.99,828.1032,Girth Weld,,,,,,,,
2790,39.99,0.344,,9910,828.8316,Girth Weld,,,,,,,,
2800,39.98,0.344,,9949.99,829.2074,Girth Weld,,,,,,,,
2810,40.02,0.344,,9989.97,829.1495,Girth Weld,,,,,,,,
2820,40.24,0.344,,10029.99,829.1206,Girth Weld,,,,,,,,
2830,40.25,0.344,,10070.24,829.2361,Girth Weld,,,,,,,,
2840,13.44,0.344,,10110.48,829.17,Girth Weld,,,,,,,,
2850,39.98,0.344,,10123.92,829.0158,Girth Weld,,,,,,,,
2860,40.04,0.344,,10163.9,827.9683,Girth Weld,,,,,,,,
,,0.344,-38.82,10202.72,826.6514,Cluster,13,,2.65,3.81,,7:11,NO,
2870,40.03,0.344,,10203.94,826.612,Girth Weld,,,,,,,,
2880,40.05,0.344,,10243.98,825.5744,Girth Weld,,,,,,,,
2890,40.01,0.344,,10284.03,824.9994,Girth Weld,,,,,,,,
2900,40.01,0.344,,10324.04,824.7206,Girth Weld,,,,,,,,
2910,20.52,0.344,,10364.04,824.5069,Girth Weld,,,,,,,,
2920,39.9,0.344,,10384.56,824.3358,Girth Weld,,,,,,,,
,,0.344,-8.37,10392.93,824.2547,metal loss-manufacturing anomaly,17,,3.66,0.71,,8:22,N/A,
,,0.344,-19.7,10404.26,824.1441,metal loss-manufacturing anomaly,17,,3.58,0.63,,2:23,N/A,
2930,40.01,0.344,,10424.46,823.9431,Girth Weld,,,,,,,,
,,,,10431.4,823.8735,Above Ground Marker,,,,,,,,AGM 2    U
2940,39.94,0.344,,10464.47,823.4679,Girth Weld,,,,,,,,
2950,40.01,0.344,,10504.41,822.7946,Girth Weld,,,,,,,,
,,0.344,-0.76,10505.17,822.7847,Cluster,10,,4.09,13.28,,5:10,NO,
2960,40,0.344,,10544.42,822.0126,Girth Weld,,,,,,,,
,,0.344,-29.95,10574.38,820.8848,Cluster,21,,6.8,5.8,1.69,4:21,NO,
,,0.344,-30.7,10575.13,820.8552,Cluster,17,,6.35,2.87,,4:19,NO,
,,0.344,-33.09,10577.51,820.7606,Cluster,12,,2.87,1.43,,6:20,NO,
,,0.344,-39,10583.42,820.523,Cluster,19,,2.99,2.91,,6:27,NO,
,,0.344,-39.15,10583.57,820.5169,metal loss,26,,1.06,2.28,1.86,3:53,NO,
2970,39.99,0.344,,10584.42,820.482,Girth Weld,,,,,,,,
,,,,10618.52,819.7015,Tap,,,,,,12:00,,
,,,,10620.51,819.7165,Tap,,,,,,12:00,,
2980,39.91,0.344,,10624.41,819.7459,Girth Weld,,,,,,,,
2990,39.93,0.344,,10664.32,820.0225,Girth Weld,,,,,,,,
3000,38.73,0.344,,10704.25,820.3489,Girth Weld,,,,,,,,
3010,19.74,0.344,,10742.98,820.7043,Girth Weld,,,,,,,,
,,0.344,-0.54,10743.51,820.7096,Cluster,23,,2.6,2.39,1.8,5:18,NO,
3020,40.13,0.344,,10762.72,820.8836,Girth Weld,,,,,,,,
3030,39.98,0.344,,10802.85,820.9673,Girth Weld,,,,,,,,
3040,39.98,0.344,,10842.83,822.2899,Girth Weld,,,,,,,,
3050,39.92,0.344,,10882.82,825.1324,Girth Weld,,,,,,,,
3060,39.95,0.344,,10922.74,826.699,Girth Weld,,,,,,,,
3070,39.98,0.344,,10962.69,827.6767,Girth Weld,,,,,,,,
3080,39.97,0.344,,11002.66,828.4034,Girth Weld,,,,,,,,
3090,39.97,0.344,,11042.63,829.1032,Girth Weld,,,,,,,,
,,0.344,-4.3,11046.93,829.1849,metal loss-manufacturing anomaly,12,,0.63,0.75,,3:25,N/A,
3100,39.94,0.344,,11082.6,830.137,Girth Weld,,,,,,,,
3110,39.87,0.344,,11122.54,831.1737,Girth Weld,,,,,,,,
3120,39.95,0.344,,11162.41,832.2356,Girth Weld,,,,,,,,
3130,39.95,0.344,,11202.37,833.4085,Girth Weld,,,,,,,,
3140,39.91,0.344,,11242.31,834.6077,Girth Weld,,,,,,,,
3150,39.99,0.344,,11282.22,835.8365,Girth Weld,,,,,,,,
3160,39.99,0.344,,11322.21,837.6544,Girth Weld,,,,,,,,
3170,39.95,0.344,,11362.19,839.5826,Girth Weld,,,,,,,,
3180,39.97,0.344,,11402.14,841.351,Girth Weld,,,,,,,,
3190,39.91,0.344,,11442.11,842.9048,Girth Weld,,,,,,,,
3200,39.92,0.344,,11482.02,843.7978,Girth Weld,,,,,,,,
3210,39.98,0.344,,11521.94,844.4853,Girth Weld,,,,,,,,
3220,39.31,0.344,,11561.92,844.9886,Girth Weld,,,,,,,,
3230,39.79,0.344,,11601.23,846.5251,Girth Weld,,,,,,,,
3240,39.94,0.344,,11641.02,848.6798,Girth Weld,,,,,,,,
3250,39.92,0.344,,11680.96,849.7608,Girth Weld,,,,,,,,
3260,39.94,0.344,,11720.88,850.0503,Girth Weld,,,,,,,,
3270,40.05,0.344,,11760.82,849.8926,Girth Weld,,,,,,,,
3280,39.87,0.344,,11800.88,849.4501,Girth Weld,,,,,,,,
3290,39.96,0.344,,11840.74,850.0526,Girth Weld,,,,,,,,
3300,40.03,0.344,,11880.7,852.5755,Girth Weld,,,,,,,,
3310,39.97,0.344,,11920.74,854.8436,Girth Weld,,,,,,,,
3320,39.98,0.344,,11960.71,856.4503,Girth Weld,,,,,,,,
3330,39.94,0.344,,12000.69,857.736,Girth Weld,,,,,,,,
3340,39.92,0.344,,12040.63,858.7553,Girth Weld,,,,,,,,
3350,39.95,0.344,,12080.55,859.8149,Girth Weld,,,,,,,,
3360,39.95,0.344,,12120.5,860.9063,Girth Weld,,,,,,,,
3370,39.96,0.344,,12160.45,861.8663,Girth Weld,,,,,,,,
,,0.344,-19.85,12180.29,862.3529,metal loss-manufacturing anomaly,13,,3.78,1.46,,10:32,N/A,
3380,39.92,0.344,,12200.4,863.0888,Girth Weld,,,,,,,,
3390,39.98,0.344,,12240.32,864.6579,Girth Weld,,,,,,,,
3400,39.97,0.344,,12280.29,865.6199,Girth Weld,,,,,,,,
3410,39.95,0.344,,12320.26,867.05,Girth Weld,,,,,,,,
3420,33.5,0.344,,12360.22,869.2006,Girth Weld,,,,,,,,
,,0.344,-20.9,12381.12,870.4641,metal loss-manufacturing anomaly,20,,3.66,2.68,,5:02,N/A,
3430,39.91,0.344,,12393.72,871.373,Girth Weld,,,,,,,,
3440,39.93,0.344,,12433.63,874.3226,Girth Weld,,,,,,,,
3450,39.95,0.344,,12473.56,877.4811,Girth Weld,,,,,,,,
3460,39.88,0.344,,12513.51,881.2307,Girth Weld,,,,,,,,
