Joint num,Joint len,Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR
4200,,0.344,-39.18,0.86,15024.48,metal loss,External,10,0.034,,,0.59,2.48,3:02,,,1,41.34,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4200,,0.344,-39.18,0.86,15024.49,metal loss,External,10,0.034,,,0.75,1.81,7:56,,,1,41.34,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4210,40.04,0.344,,,15025.35,GirthWeld,,,,,,,,,,14,0.7,41.33,,,,1160,65000,,1342,,,,,,,,
4210,,0.344,-0.81,39.23,15026.16,metal loss,External,11,0.038,,,0.83,1.42,12:59,,,0.7,41.32,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4210,,0.344,-24.44,15.6,15049.79,metal loss,External,13,0.045,,,0.67,1.38,8:45,,,0.7,40.78,,MFL-A/XT,,1160,65000,,1342,1473.34,2045.7,,,,,,
4210,,0.344,-27.08,12.96,15052.42,metal loss,External,10,0.034,,,2.13,1.93,8:44,,,0.7,40.69,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4210,,0.344,-28.02,12.01,15053.37,metal loss,External,17,0.058,,,0.79,1.02,8:49,,,0.7,40.66,,MFL-A/XT,,1160,65000,,1342,1470.73,2042.08,,,,,,
4210,,0.344,-28.54,11.5,15053.89,metal loss,External,13,0.045,,,0.43,0.94,8:50,,,0.7,40.64,,MFL-A/XT,,1160,65000,,1342,1474.95,2047.93,,,,,,
4210,,0.344,-29.57,10.47,15054.91,metal loss,External,12,0.041,,,0.83,1.26,8:51,,,0.7,40.61,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4210,,0.344,-29.61,10.43,15054.95,metal loss,External,18,0.062,,,0.67,1.06,8:14,,,0.7,40.61,,MFL-A/XT,,1160,65000,,1342,1472.09,2043.96,,,,,,
4210,,0.344,-29.82,10.22,15055.17,cluster,External,30,0.103,,,2.22,2.95,8:34,,,0.7,40.6,,,,1160,65000,,1342,1414.16,1963.52,1475.24,2048.34,1498.29,2080.33,0.79,1.77
4210,,0.344,-30.32,9.71,15055.67,metal loss,External,23,0.079,,,1.58,1.77,8:05,,,0.7,40.58,,MFL-A/XT,,1160,65000,,1342,1449.14,2012.1,1517.74,2107.34,1520.03,2110.53,0.76,1.82
4210,,0.344,-30.35,9.68,15055.7,metal loss,External,46,0.158,,,1.18,1.61,8:47,,,0.7,40.58,,MFL-A/XT,,1160,65000,,1342,1437.45,1995.87,1501.56,2084.88,1508.87,2095.03,0.77,1.8
4210,,0.344,-30.7,9.34,15056.04,metal loss,External,13,0.045,,,1.85,1.1,8:52,,,0.7,40.57,,MFL-A/XT,,1160,65000,,1342,1457.78,2024.09,,,,,,
4210,,0.344,-30.81,9.23,15056.15,cluster,External,21,0.072,,,2.09,3.21,8:04,,,0.7,40.57,,,,1160,65000,,1342,1438.41,1997.2,1505.06,2089.74,1506.25,2091.39,0.77,1.8
4210,,0.344,-34.14,5.9,15059.49,metal loss,External,17,0.058,,,1.89,1.38,9:00,,,0.7,40.46,,MFL-A/XT,,1160,65000,,1342,1450.47,2013.94,,,,,,
4210,,0.344,-36.09,3.95,15061.44,metal loss,External,15,0.052,,,0.83,1.22,9:54,,,0.7,40.4,,MFL-A/XT,,1160,65000,,1342,1471.03,2042.48,,,,,,
4220,40.1,0.344,,,15065.38,GirthWeld,,,,,,,,,,29,0.7,40.28,,,,1160,65000,,1342,,,,,,,,
4220,,0.344,-4.09,36.02,15069.47,metal loss,External,23,0.079,,,1.61,2.91,3:53,,,0.7,40.15,,MFL-A/XT,,1160,65000,,1342,1448.11,2010.66,1516.53,2105.66,1518.91,2108.97,0.76,1.82
4220,,0.344,-4.35,35.75,15069.74,metal loss,External,10,0.034,,,0.75,1.61,3:53,,,0.7,40.14,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4220,,0.344,-8.23,31.87,15073.61,metal loss,External,10,0.034,,,0.75,1.38,5:10,,,0.7,40.03,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4220,,0.344,-8.46,31.64,15073.85,metal loss,External,19,0.065,,,0.75,1.5,5:12,,,0.7,40.02,,MFL-A/XT,,1160,65000,,1342,1470.7,2042.03,,,,,,
4220,,0.344,-8.64,31.47,15074.02,metal loss,External,20,0.069,,,0.71,1.3,5:33,,,0.7,40.02,,MFL-A/XT,,1160,65000,,1342,1470.9,2042.3,1542.66,2141.95,1542.97,2142.38,0.75,1.85
4220,,0.344,-8.8,31.31,15074.18,metal loss,External,26,0.089,,,0.59,0.94,5:40,,,0.7,40.01,,MFL-A/XT,,1160,65000,,1342,1471.16,2042.67,1542.88,2142.24,1543.4,2142.97,0.75,1.85
4220,,0.344,-10.73,29.37,15076.11,metal loss,External,10,0.034,,,0.35,0.67,12:42,,,0.7,39.96,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4220,,0.344,-10.9,29.2,15076.28,metal loss,External,20,0.069,,,0.75,2.01,12:17,,,0.7,39.96,,MFL-A/XT,,1160,65000,,1342,1470.37,2041.57,1542.08,2141.13,1542.41,2141.6,0.75,1.85
4220,,0.344,-20.69,19.41,15086.08,metal loss,External,12,0.041,,,0.87,2.17,4:14,,,0.7,39.72,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4220,,0.344,-20.84,19.27,15086.22,metal loss,External,22,0.076,,,0.67,1.02,3:07,,,0.7,39.72,,MFL-A/XT,,1160,65000,,1342,1470.84,2042.23,1542.58,2141.83,1542.99,2142.4,0.75,1.85
4220,,0.344,-21.09,19.02,15086.47,metal loss,External,10,0.034,,,0.55,0.94,5:07,,,0.7,39.71,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4220,,0.344,-21.22,18.88,15086.61,metal loss,External,10,0.034,,,0.67,0.79,5:06,,,0.7,39.71,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4220,,0.344,-27.4,12.71,15092.78,metal loss,External,41,0.141,,,0.67,1.1,8:15,,,0.7,39.57,,MFL-A/XT,,1160,65000,,1342,1464.53,2033.46,1534.78,2131.01,1536.77,2133.77,0.76,1.84
4220,,0.344,-27.59,12.52,15092.97,metal loss,External,11,0.038,,,0.83,0.63,7:57,,,0.7,39.57,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4220,,0.344,-27.6,12.5,15092.99,metal loss,External,31,0.107,,,0.98,1.38,8:17,,,0.7,39.57,,MFL-A/XT,,1160,65000,,1342,1459.53,2026.52,1529.44,2123.59,1531.6,2126.59,0.76,1.83
4220,,0.344,-28.51,11.6,15093.89,metal loss,External,10,0.034,,,1.38,1.89,6:19,,,0.7,39.55,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4220,,0.344,-28.59,11.51,15093.97,metal loss,External,10,0.034,,,0.59,1.06,9:19,,,0.7,39.55,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4220,,0.344,-29.48,10.63,15094.86,metal loss,External,19,0.065,,,0.67,1.61,1:08,,,0.7,39.53,,MFL-A/XT,,1160,65000,,1342,1471.68,2043.39,,,,,,
4220,,0.344,-29.56,10.54,15094.95,metal loss,External,27,0.093,,,0.47,0.94,9:16,,,0.7,39.53,,MFL-A/XT,,1160,65000,,1342,1472.82,2044.98,1544.73,2144.82,1545.1,2145.34,0.75,1.85
4220,,0.344,-29.69,10.42,15095.07,metal loss,External,49,0.169,,,1.02,1.89,9:09,,,0.7,39.53,,MFL-A/XT,,1160,65000,,1342,1443.37,2004.08,1508.34,2094.29,1514.94,2103.46,0.77,1.81
4220,,0.344,-29.91,10.2,15095.29,cluster,External,43,0.148,,,1.38,1.78,9:22,,,0.7,39.52,,,,1160,65000,,1342,1429.68,1985.07,1492.54,2072.35,1522.17,2113.5,0.78,1.79
4220,,0.344,-30.25,9.85,15095.63,metal loss,External,29,0.1,,,0.51,1.02,9:30,,,0.7,39.52,,MFL-A/XT,,1160,65000,,1342,1471.74,2043.47,1543.48,2143.09,1544.02,2143.83,0.75,1.85
4220,,0.344,-30.56,9.54,15095.94,metal loss,External,14,0.048,,,1.93,2.05,6:10,,,0.7,39.51,,MFL-A/XT,,1160,65000,,1342,1454.99,2020.21,,,,,,
4220,,0.344,-30.92,9.18,15096.31,metal loss,External,10,0.034,,,0.59,1.02,12:14,,,0.7,39.5,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4220,,0.344,-31.5,8.6,15096.88,metal loss,External,40,0.138,,,0.75,1.36,9:05,,,0.7,39.49,,MFL-A/XT,,1160,65000,,1342,1462.49,2030.63,1532.42,2127.73,1534.7,2130.9,0.76,1.83
4220,,0.344,-31.7,8.4,15097.09,metal loss,External,30,0.103,,,1.65,1.97,8:59,,,0.7,39.49,,MFL-A/XT,,1160,65000,,1342,1436.29,1994.25,1502.15,2085.7,1507.15,2092.64,0.77,1.8
4220,,0.344,-32.99,7.11,15098.37,cluster,External,38,0.131,,,3.24,1.38,9:10,,,0.7,39.47,,,,1160,65000,,1342,1342.04,1863.39,1382.38,1919.41,1464.57,2033.52,0.84,1.65
4220,,0.344,-33.48,6.63,15098.86,metal loss,External,13,0.045,,,0.55,0.94,8:57,,,0.7,39.46,,MFL-A/XT,,1160,65000,,1342,1474.18,2046.86,,,,,,
4220,,0.344,-39.2,0.9,15104.59,cluster,External,17,0.058,,,0.83,8.9,3:08,,,0.7,39.34,,,,1160,65000,,1342,1470.27,2041.43,,,,,,
4230,39.97,0.344,,,15105.49,GirthWeld,,,,,,,,,,1,0.7,39.32,,,,1160,65000,,1342,,,,,,,,
4230,,0.344,-0.78,39.19,15106.27,metal loss,External,14,0.048,,,0.59,1.3,11:43,,,0.7,39.31,,MFL-A/XT,,1160,65000,,1342,1473.62,2046.09,,,,,,
4240,39.93,0.344,,,15145.46,GirthWeld,,,,,,,,,,3,0.7,38.46,,,,1160,65000,,1342,,,,,,,,
4240,,0.344,-39.04,0.89,15184.5,metal loss,External,11,0.038,,,1.02,2.01,2:21,,,0.7,38.01,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4240,,0.344,-39.05,0.88,15184.5,metal loss,External,10,0.034,,,0.79,2.24,4:16,,,0.7,38.01,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4240,,0.344,-39.09,0.84,15184.54,metal loss,External,24,0.083,,,0.71,2.05,5:08,,,0.7,38.01,,MFL-A/XT,,1160,65000,,1342,1469.64,2040.56,1541.2,2139.92,1541.8,2140.75,0.75,1.84
4250,39.94,0.344,,,15185.39,GirthWeld,,,,,,,,,,1,0.7,38,,,,1160,65000,,1342,,,,,,,,
4250,,0.344,-0.81,39.13,15186.2,metal loss,External,10,0.034,,,1.1,2.44,3:10,,,0.7,38,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4260,39.34,0.344,,,15225.33,GirthWeld,,,,,,,,,,1,0.7,37.78,,,,1160,65000,,1342,,,,,,,,
4260,,0.344,-38.46,0.88,15263.79,metal loss,External,14,0.048,,,0.98,5.08,7:45,,,0.7,37.7,,MFL-A/XT,,1160,65000,,1342,1469.57,2040.46,,,,,,
4270,10.9,0.344,,,15264.67,GirthWeld,,,,,,,,,,4,0.7,37.7,,,,1160,65000,,1342,,,,,,,,
4270,,0.344,-10.76,0.14,15275.43,metal loss,External,12,0.041,,,0.55,1.1,2:41,near girth weld,,0.7,37.77,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4270,,0.344,-10.76,0.13,15275.43,metal loss,External,10,0.034,,,1.22,1.81,9:07,affecting girth weld,,0.7,37.77,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4270,,0.344,-10.78,0.12,15275.44,metal loss,External,18,0.062,,,1.5,5.2,3:17,affecting girth weld,,0.7,37.77,,MFL-A/XT,,1160,65000,,1342,1457.79,2024.1,,,,,,
4270,,0.344,-10.78,0.11,15275.45,metal loss,External,17,0.058,,,1.1,2.79,8:01,affecting girth weld,,0.7,37.77,,MFL-A/XT,,1160,65000,,1342,1466.03,2035.54,,,,,,
4280,10.12,0.344,,,15275.56,GirthWeld,,,,,,,,,,,0.7,37.77,,,,1160,65000,,1342,,,,,,,,
4290,9.27,0.5,,,15285.68,GirthWeld,,,,,,,,,,,0.7,37.91,,,,1160,60000,,1800,,,,,,,,
4290,,,,,15290.67,Bend,,,,,,,,,5.6D -  27° - Over,,,37.45,,,,,,,,,,,,,,,
4300,17.29,0.344,,,15294.95,GirthWeld,,,,,,,,,,1,1,35.53,,,,1160,65000,,1342,,,,,,,,
4300,,0.344,-0.67,16.62,15295.63,metal loss,External,10,0.034,,,1.38,2.72,2:23,,,1,35.18,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4310,8.01,0.5,,,15312.24,GirthWeld,,,,,,,,,,,0.7,26.81,,,,1160,60000,,1800,,,,,,,,
4310,,,,,15316.41,Bend,,,,,,,,,5.4D -  22° - Sag,,,25,,,,,,,,,,,,,,,
4320,20.82,0.344,,,15320.25,GirthWeld,,,,,,,,,,,0.7,24.38,,,,1160,65000,,1342,,,,,,,,
4330,11.71,0.5,,,15341.07,GirthWeld,,,,,,,,,,,0.7,22.24,,,,1160,60000,,1800,,,,,,,,
4330,,,,,15347.34,Bend,,,,,,,,,5.7D -  35° - Sag,,,22.48,,,,,,,,,,,,,,,
4340,13.53,0.344,,,15352.78,GirthWeld,,,,,,,,,,2,1,25.27,,,,1160,65000,,1342,,,,,,,,
4340,,0.344,-13.3,0.23,15366.08,metal loss,External,12,0.041,,,1.02,4.05,2:53,near girth weld,,1,33.58,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4340,,0.344,-13.3,0.23,15366.08,metal loss,External,15,0.052,,,0.91,7.36,4:05,near girth weld,,1,33.58,,MFL-A/XT,,1160,65000,,1342,1469.99,2041.05,,,,,,
4350,8.78,0.5,,,15366.31,GirthWeld,,,,,,,,,,,0.7,33.72,,,,1160,60000,,1800,,,,,,,,
4350,,,,,15371.09,Bend,,,,,,,,,5.1D -  28° - Over,,,36.31,,,,,,,,,,,,,,,
4360,12.47,0.344,,,15375.09,GirthWeld,,,,,,,,,,2,0.7,37.2,,,,1160,65000,,1342,,,,,,,,
4360,,0.344,-2.34,10.13,15377.43,metal loss,External,11,0.038,,,0.87,2.44,10:04,,,0.7,37.6,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4360,,0.344,-2.49,9.98,15377.59,metal loss,External,19,0.065,,,0.67,1.14,5:01,,,0.7,37.63,,MFL-A/XT,,1160,65000,,1342,1471.68,2043.39,,,,,,
4370,40.19,0.344,,,15387.56,GirthWeld,,,,,,,,,,,0.7,39.39,,,,1160,65000,,1342,,,,,,,,
4380,11.35,0.5,,,15427.75,GirthWeld,,,,,,,,,,,0.7,49.74,,,,1160,60000,,1800,,,,,,,,
4380,,,,,15433.92,Valve,,,,,,,,,,,,51.35,,,,,,,,,,,,,,,
4390,25.2,0.344,,,15439.11,GirthWeld,,,,,,,,,,1,3.6,52.72,,,,1160,65000,,1342,,,,,,,,
4390,,0.344,-15.61,9.58,15454.72,metal loss,External,21,0.072,,,0.35,0.67,9:45,,,3.6,56.83,,MFL-A/XT,,1160,65000,,1342,1474.71,2047.59,1546.87,2147.79,1546.97,2147.93,0.75,1.85
4400,40.03,0.344,,,15464.3,GirthWeld,,,,,,,,,,,0.7,59.62,,,,1160,65000,,1342,,,,,,,,
4410,40.07,0.344,,,15504.34,GirthWeld,,,,,,,,,,1,0.7,72.71,,,,1160,65000,,1342,,,,,,,,
4410,,0.344,-0.78,39.29,15505.12,metal loss,External,13,0.045,,,0.71,1.69,2:54,,,0.7,72.99,,MFL-A/XT,,1160,65000,,1342,1472.92,2045.12,,,,,,
4420,40.01,0.344,,,15544.4,GirthWeld,,,,,,,,,,,0.7,88.39,,,,1160,65000,,1342,,,,,,,,
4430,40.08,0.344,,,15584.42,GirthWeld,,,,,,,,,,1,0.7,105.67,,,,1160,65000,,1342,,,,,,,,
4430,,0.344,-0.78,39.3,15585.19,metal loss,External,21,0.072,,,1.06,1.34,4:53,,,0.7,106.01,,MFL-A/XT,,1160,65000,,1342,1464.03,2032.77,1534.94,2131.23,1535.77,2132.38,0.76,1.84
4440,40.18,0.344,,,15624.49,GirthWeld,,,,,,,,,,,0.7,122.49,,,,1160,65000,,1342,,,,,,,,
4450,40.16,0.344,,,15664.67,GirthWeld,,,,,,,,,,,0.7,136.85,,,,1160,65000,,1342,,,,,,,,
4460,40.08,0.344,,,15704.83,GirthWeld,,,,,,,,,,,0.7,146.3,,,,1160,65000,,1342,,,,,,,,
4470,40.01,0.344,,,15744.92,GirthWeld,,,,,,,,,,,0.7,152.42,,,,1160,65000,,1342,,,,,,,,
4480,40.02,0.344,,,15784.93,GirthWeld,,,,,,,,,,,0.7,158.64,,,,1160,65000,,1342,,,,,,,,
4490,34.86,0.344,,,15824.95,GirthWeld,,,,,,,,,,,0.7,164.99,,,,1160,65000,,1342,,,,,,,,
4500,39.92,0.344,,,15859.81,GirthWeld,,,,,,,,,,,1,170.18,,,,1160,65000,,1342,,,,,,,,
4500,,,,,15860.33,AGM,,,,,,,,,AGM#6 AT PLM/ ON ROW,,,170.26,,,,,,,,,,,,,,,
4510,40.08,0.344,,,15899.73,GirthWeld,,,,,,,,,,,1,175.33,,,,1160,65000,,1342,,,,,,,,
4520,40.1,0.344,,,15939.81,GirthWeld,,,,,,,,,,,0.7,181.03,,,,1160,65000,,1342,,,,,,,,
4530,40.12,0.344,,,15979.91,GirthWeld,,,,,,,,,,,0.7,193.34,,,,1160,65000,,1342,,,,,,,,
4540,39.96,0.344,,,16020.03,GirthWeld,,,,,,,,,,1,0.7,207.5,,,,1160,65000,,1342,,,,,,,,
4540,,0.344,-18.84,21.13,16038.87,metal loss,External,13,0.045,,,0.35,0.63,7:25,,,0.7,213.47,,MFL-A/XT,,1160,65000,,1342,1475.33,2048.46,,,,,,
4550,39.08,0.344,,,16060,GirthWeld,,,,,,,,,,,0.7,220.55,,,,1160,65000,,1342,,,,,,,,
4560,40.06,0.344,,,16099.07,GirthWeld,,,,,,,,,,,0.7,234.33,,,,1160,65000,,1342,,,,,,,,
4570,40.06,0.344,,,16139.14,GirthWeld,,,,,,,,,,,0.7,244.57,,,,1160,65000,,1342,,,,,,,,
4580,40.06,0.344,,,16179.2,GirthWeld,,,,,,,,,,,0.7,250.23,,,,1160,65000,,1342,,,,,,,,
4590,40.03,0.344,,,16219.25,GirthWeld,,,,,,,,,,,0.7,252.15,,,,1160,65000,,1342,,,,,,,,
4600,40.07,0.344,,,16259.28,GirthWeld,,,,,,,,,,,0.7,253.37,,,,1160,65000,,1342,,,,,,,,
4610,40.06,0.344,,,16299.36,GirthWeld,,,,,,,,,,,0.7,254.09,,,,1160,65000,,1342,,,,,,,,
4620,39.91,0.344,,,16339.42,GirthWeld,,,,,,,,,,1,0.7,253.67,,,,1160,65000,,1342,,,,,,,,
4620,,0.344,-38.29,1.62,16377.71,metal loss,External,11,0.038,,,0.67,1.42,4:44,,,0.7,252.82,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4630,40.1,0.344,,,16379.33,GirthWeld,,,,,,,,,,,0.7,252.78,,,,1160,65000,,1342,,,,,,,,
4640,40.02,0.344,,,16419.43,GirthWeld,,,,,,,,,,1,0.7,251.54,,,,1160,65000,,1342,,,,,,,,
4640,,0.344,-39.05,0.97,16458.49,metal loss,External,12,0.041,,,1.85,3.42,5:39,,,0.7,250.42,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4650,39.99,0.344,,,16459.45,GirthWeld,,,,,,,,,,1,0.7,250.39,,,,1160,65000,,1342,,,,,,,,
4650,,0.344,-1.16,38.82,16460.62,metal loss,External,36,0.124,,,0.75,1.93,6:57,,,0.7,250.35,,MFL-A/XT,,1160,65000,,1342,1464.28,2033.11,1534.72,2130.92,1536.52,2133.42,0.76,1.84
4660,40.1,0.344,,,16499.44,GirthWeld,,,,,,,,,,6,1,248.79,,,,1160,65000,,1342,,,,,,,,
4660,,0.344,-32.67,7.42,16532.12,cluster,External,29,0.1,,,2.56,6.51,4:34,,,1,248.13,,,,1160,65000,,1342,1402.95,1947.97,1461.36,2029.06,1464.69,2033.68,0.79,1.75
4660,,0.344,-33.2,6.9,16532.64,metal loss,External,12,0.041,,,1.02,1.69,6:36,,,1,248.14,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4660,,0.344,-39.11,0.99,16538.55,metal loss,External,11,0.038,,,1.26,4.57,6:55,,,1,248.22,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4660,,0.344,-39.21,0.88,16538.65,metal loss,External,12,0.041,,,1.18,1.61,4:02,,,1,248.22,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4660,,0.344,-39.21,0.88,16538.65,cluster,External,29,0.1,,,1.67,5.24,8:25,,,1,248.22,,,,1160,65000,,1342,1437.99,1996.61,1504.25,2088.62,1510.82,2097.74,0.77,1.8
4660,,0.344,-39.23,0.87,16538.67,metal loss,External,35,0.12,,,0.67,2.01,10:03,,,1,248.22,,MFL-A/XT,,1160,65000,,1342,1467.07,2036.98,1538,2135.47,1539.34,2137.33,0.75,1.84
4670,40.11,0.344,,,16539.54,GirthWeld,,,,,,,,,,,0.7,248.24,,,,1160,65000,,1342,,,,,,,,
4680,40.08,0.344,,,16579.65,GirthWeld,,,,,,,,,,1,0.7,248.99,,,,1160,65000,,1342,,,,,,,,
4680,,0.344,-39.14,0.94,16618.79,metal loss,External,12,0.041,,,0.94,0.59,5:20,,,0.7,249.3,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4690,40.13,0.344,,,16619.73,GirthWeld,,,,,,,,,,5,0.7,249.3,,,,1160,65000,,1342,,,,,,,,
4690,,0.344,-0.81,39.32,16620.54,metal loss,External,13,0.045,,,0.51,0.94,7:30,,,0.7,249.3,,MFL-A/XT,,1160,65000,,1342,1474.51,2047.32,,,,,,
4690,,0.344,-0.82,39.31,16620.54,metal loss,External,16,0.055,,,1.38,5.55,4:56,,,0.7,249.3,,MFL-A/XT,,1160,65000,,1342,1462.03,2029.99,,,,,,
4690,,0.344,-0.82,39.31,16620.54,metal loss,External,10,0.034,,,2.05,2.21,6:56,,,0.7,249.3,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4690,,0.344,-0.84,39.28,16620.57,metal loss,External,16,0.055,,,0.71,1.73,6:22,,,0.7,249.3,,MFL-A/XT,,1160,65000,,1342,1472.08,2043.95,,,,,,
4690,,0.344,-0.93,39.2,16620.66,metal loss,External,10,0.034,,,0.55,0.59,6:32,,,0.7,249.3,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4700,40.1,0.344,,,16659.85,GirthWeld,,,,,,,,,,4,1,249.33,,,,1160,65000,,1342,,,,,,,,
4700,,,,,16698.65,Attachment,,,,,,,,6:00,Repair Marker 2012 Dig #10 Recoat,,,249.37,,,,,,,,,,,,,,,
4700,,0.344,-39.23,0.87,16699.09,metal loss,External,13,0.045,,,0.94,3.11,8:13,Recoat,,1,249.37,,MFL-A/XT,,1160,65000,,1342,1470.49,2041.74,,,,,,
4700,,0.344,-39.24,0.87,16699.09,metal loss,External,13,0.045,,,0.71,2.52,5:56,Recoat,,1,249.37,,MFL-A/XT,,1160,65000,,1342,1472.92,2045.12,,,,,,
4700,,0.344,-39.24,0.86,16699.1,metal loss,External,17,0.058,,,0.67,4.25,4:17,Recoat,,1,249.37,,MFL-A/XT,,1160,65000,,1342,1472.21,2044.13,,,,,,
4700,,0.344,-39.26,0.84,16699.12,metal loss,External,16,0.055,,,0.59,1.02,9:01,Recoat,,1,249.37,,MFL-A/XT,,1160,65000,,1342,1473.33,2045.68,,,,,,
4710,40.12,0.344,,,16699.96,GirthWeld,,,,,,,,,,6,0.7,249.37,,,,1160,65000,,1342,,,,,,,,
4710,,,,,16700.12,Area Start Composite Wrap,,,,,,,,,Repair Marker @12:00 2012 Dig #10,,,249.37,,,,,,,,,,,,,,,
4710,,0.344,-0.75,39.37,16700.71,metal loss,External,13,0.045,,,0.91,2.48,6:04,Repaired?,,0.7,249.36,,MFL-A/XT,,1160,65000,,1342,1470.89,2042.3,,,,,,
4710,,0.344,-0.82,39.3,16700.78,metal loss,External,22,0.076,,,1.3,4.84,3:33,Repaired?,,0.7,249.36,,MFL-A/XT,,1160,65000,,1342,1457.7,2023.98,1527.7,2121.17,1529.12,2123.15,0.76,1.83
4710,,0.344,-0.84,39.28,16700.8,metal loss,External,45,0.155,,,0.87,3.98,4:54,Repaired?,,0.7,249.36,,MFL-A/XT,,1160,65000,,1342,1454.8,2019.96,1522.85,2114.44,1526.83,2119.96,0.76,1.82
4710,,0.344,-0.84,39.28,16700.8,cluster,External,22,0.076,,,2.4,4.61,6:08,Repaired?,,0.7,249.36,,,,1160,65000,,1342,1427.36,1981.86,1491.66,2071.13,1489.98,2068.8,0.78,1.79
4710,,0.344,-0.85,39.27,16700.81,metal loss,External,12,0.041,,,0.98,4.61,2:17,Repaired?,,0.7,249.36,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4710,,0.344,-0.87,39.25,16700.83,metal loss,External,13,0.045,,,0.91,1.77,7:02,Repaired?,,0.7,249.36,,MFL-A/XT,,1160,65000,,1342,1471.02,2042.48,,,,,,
4710,,,,,16701.55,Area End Composite Wrap,,,,,,,,,Repair Marker @12:00 2012 Dig #10,,,249.36,,,,,,,,,,,,,,,
4710,,,,,16701.63,Attachment,,,,,,,,6:00,Repair Marker 2012 Dig #10 Recoat,,,249.36,,,,,,,,,,,,,,,
4720,40.11,0.344,,,16740.08,GirthWeld,,,,,,,,,,,1,249.55,,,,1160,65000,,1342,,,,,,,,
4730,40.1,0.344,,,16780.19,GirthWeld,,,,,,,,,,2,0.7,249.93,,,,1160,65000,,1342,,,,,,,,
4730,,0.344,-0.25,39.85,16780.45,metal loss,External,10,0.034,,,0.32,0.63,4:02,,,0.7,249.93,,MFL-A/XT,,1160,65000,,1342,,,,,,,,
4730,,0.344,-0.58,39.52,16780.77,metal loss,External,13,0.045,,,0.51,1.34,3:40,,,0.7,249.93,,MFL-A/XT,,1160,65000,,1342,1474.51,2047.32,,,,,,
4740,40.05,0.344,,,16820.29,GirthWeld,,,,,,,,,,,0.7,250.3,,,,1160,65000,,1342,,,,,,,,
4750,40.08,0.344,,,16860.34,GirthWeld,,,,,,,,,,,0.7,250.86,,,,1160,65000,,1342,,,,,,,,
4760,39.97,0.344,,,16900.42,GirthWeld,,,,,,,,,,,0.7,250.95,,,,1160,65000,,1342,,,,,,,,
4770,40.11,0.344,,,16940.39,GirthWeld,,,,,,,,,,,0.7,250.56,,,,1160,65000,,1342,,,,,,,,
4780,40.12,0.344,,,16980.5,GirthWeld,,,,,,,,,,,0.7,250.2,,,,1160,65000,,1342,,,,,,,,
4790,40.13,0.344,,,17020.62,GirthWeld,,,,,,,,,,,0.7,250.22,,,,1160,65000,,1342,,,,,,,,
4800,40.1,0.344,,,17060.75,GirthWeld,,,,,,,,,,,0.7,251.58,,,,1160,65000,,1342,,,,,,,,
4810,40.27,0.344,,,17100.85,GirthWeld,,,,,,,,,,,0.7,253.28,,,,1160,65000,,1342,,,,,,,,
4820,40.32,0.344,,,17141.12,GirthWeld,,,,,,,,,,,0.7,257.59,,,,1160,65000,,1342,,,,,,,,
