joint_number,joint_length_ft,wall_thickness_in,dist_to_upstream_gw_ft,distance_ft,Height[ft],feature_type,depth_pct,id_reduction_pct,anomaly_length_in,anomaly_width_in,burst_pressure_psi,clock_position,internal_external,comments,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,cluster_id,clock_hours
,,0.344,-38.22,2218.72,916.6591,Metal Loss,12.0,,0.98,0.71,,5:13,YES,,2007,Metal Loss_2218.7,True,2218.72,2219.1,17,5.216666666666667
,,0.344,-39.74,2220.24,916.7737,Cluster,16.0,,3.12,2.77,,5:23,YES,,2007,Cluster_2220.2,True,2220.24,2220.62,17,5.383333333333334
,,0.344,-39.74,2220.24,916.7741,Metal Loss,11.0,,0.91,0.59,,6:19,YES,,2007,Metal Loss_2220.2,True,2220.24,2220.62,17,6.316666666666666
,,0.344,-2.29,2222.85,916.9708,Metal Loss,15.0,,0.55,0.71,,7:15,YES,,2007,Metal Loss_2222.8,True,2222.85,2223.23,17,7.25
,,0.344,-6.11,2226.67,917.2614,Metal Loss,10.0,,0.59,0.71,,7:10,YES,,2007,Metal Loss_2226.7,True,2226.67,2227.05,17,7.166666666666667
,,0.344,-6.15,2226.72,917.2647,Metal Loss,10.0,,0.91,0.63,,6:24,YES,,2007,Metal Loss_2226.7,True,2226.72,2227.1,17,6.4
,,0.344,-7.41,2227.98,917.3608,Metal Loss,12.0,,0.63,0.71,,7:20,YES,,2007,Metal Loss_2228.0,True,2227.98,2228.36,17,7.333333333333333
,,0.344,-8.24,2228.8,917.4236,Metal Loss,10.0,,0.71,0.71,,6:27,YES,,2007,Metal Loss_2228.8,True,2228.8,2229.1800000000003,17,6.45
,,0.344,-12.48,2233.04,917.7464,Metal Loss,13.0,,0.79,0.94,,6:24,YES,,2007,Metal Loss_2233.0,True,2233.04,2233.42,17,6.4
,,0.344,-12.61,2233.17,917.7564,Cluster,11.0,,1.76,1.11,,4:57,YES,,2007,Cluster_2233.2,True,2233.17,2233.55,17,4.95
,,0.344,-13.8,2234.36,917.8472,Cluster,11.0,,2.12,0.73,,7:33,YES,,2007,Cluster_2234.4,True,2234.36,2234.74,17,7.55
,,0.344,-14.13,2234.69,917.8724,Metal Loss,12.0,,0.63,0.71,,5:14,YES,,2007,Metal Loss_2234.7,True,2234.69,2235.07,17,5.233333333333333
,,0.344,-14.68,2235.25,917.9148,Metal Loss,10.0,,1.1,0.83,,6:23,YES,,2007,Metal Loss_2235.2,True,2235.25,2235.63,17,6.383333333333334
,,0.344,-18.33,2238.9,918.1934,Cluster,15.0,,2.34,1.11,,5:19,YES,,2007,Cluster_2238.9,True,2238.9,2239.28,17,5.316666666666666
,,0.344,-20.64,2241.2,918.3697,Metal Loss,15.0,,0.67,0.71,,4:59,YES,,2007,Metal Loss_2241.2,True,2241.2,2241.58,17,4.983333333333333
,,0.344,-21.28,2241.84,918.4186,Metal Loss,12.0,,0.59,0.71,,5:26,YES,,2007,Metal Loss_2241.8,True,2241.84,2242.2200000000003,17,5.433333333333334
,,0.344,-23.35,2243.92,918.5765,Metal Loss,17.0,,0.71,0.71,,6:21,YES,,2007,Metal Loss_2243.9,True,2243.92,2244.3,17,6.35
,,0.344,-24.32,2244.89,918.6503,Metal Loss,11.0,,0.75,0.63,,6:11,YES,,2007,Metal Loss_2244.9,True,2244.89,2245.27,17,6.183333333333334
,,0.344,-26.45,2247.01,918.811,Metal Loss,17.0,,0.87,0.71,,5:31,YES,,2007,Metal Loss_2247.0,True,2247.01,2247.3900000000003,17,5.516666666666667
,,0.344,-28.19,2248.76,918.943,Metal Loss,16.0,,0.63,0.59,,6:26,YES,,2007,Metal Loss_2248.8,True,2248.76,2249.1400000000003,17,6.433333333333334
,,0.344,-28.72,2249.29,918.9831,Metal Loss,10.0,,0.71,0.71,,6:01,YES,,2007,Metal Loss_2249.3,True,2249.29,2249.67,17,6.016666666666667
,,0.344,-28.93,2249.5,918.9989,Metal Loss,11.0,,0.71,0.71,,6:28,YES,,2007,Metal Loss_2249.5,True,2249.5,2249.88,17,6.466666666666667
,,0.344,-33.35,2253.91,919.3328,Metal Loss,13.0,,0.47,0.71,,5:23,YES,,2007,Metal Loss_2253.9,True,2253.91,2254.29,17,5.383333333333334
,,0.344,-35.19,2255.76,919.4699,Cluster,18.0,,1.94,0.69,,5:25,YES,,2007,Cluster_2255.8,True,2255.76,2256.1400000000003,17,5.416666666666667
,,0.344,-36.84,2257.41,919.5927,Metal Loss,13.0,,0.79,0.67,,6:25,YES,,2007,Metal Loss_2257.4,True,2257.41,2257.79,17,6.416666666666667
,,0.344,-37.56,2258.13,919.646,Cluster,11.0,,4.56,3.83,,4:55,YES,,2007,Cluster_2258.1,True,2258.13,2258.51,17,4.916666666666667
,,0.344,-39.55,2260.11,919.7917,Cluster,15.0,,3.11,3.31,,5:32,YES,,2007,Cluster_2260.1,True,2260.11,2260.49,17,5.533333333333333
,,0.344,-0.08,2260.47,919.8172,Cluster,13.0,,1.57,4.48,,5:35,YES,,2007,Cluster_2260.5,True,2260.47,2260.85,17,5.583333333333333
,,0.344,-1.62,2262.01,919.9293,Metal Loss,10.0,,0.67,0.71,,7:07,YES,,2007,Metal Loss_2262.0,True,2262.01,2262.3900000000003,17,7.116666666666666
,,0.344,-3.59,2263.98,920.0726,Cluster,13.0,,1.66,0.69,,5:57,YES,,2007,Cluster_2264.0,True,2263.98,2264.36,17,5.95
,,0.344,-5.62,2266.01,920.2201,Metal Loss,10.0,,0.47,0.71,,11:47,YES,,2007,Metal Loss_2266.0,True,2266.01,2266.3900000000003,17,11.783333333333333
,,0.344,-6.88,2267.26,920.3112,Metal Loss,10.0,,0.79,0.59,,6:03,YES,,2007,Metal Loss_2267.3,True,2267.26,2267.6400000000003,17,6.05
,,0.344,-8.13,2268.51,920.4023,Metal Loss,12.0,,0.55,0.71,,5:25,YES,,2007,Metal Loss_2268.5,True,2268.51,2268.8900000000003,17,5.416666666666667
,,0.344,-10.6,2270.99,920.5809,Cluster,10.0,,1.86,1.43,,6:27,YES,,2007,Cluster_2271.0,True,2270.99,2271.37,17,6.45
,,0.344,-30.04,2290.43,921.9339,Cluster,10.0,,3.88,0.71,,5:30,YES,,2007,Cluster_2290.4,True,2290.43,2290.81,18,5.5
,,0.344,-30.6,2290.98,921.9714,Cluster,12.0,,1.62,3.27,,5:42,YES,,2007,Cluster_2291.0,True,2290.98,2291.36,18,5.7
,,0.344,-39.67,2300.05,922.556,Cluster,15.0,,4.56,4.34,,5:52,YES,,2007,Cluster_2300.1,True,2300.05,2300.4300000000003,18,5.866666666666667
,,0.344,-39.74,2300.12,922.5602,Cluster,16.0,,4.03,8.09,,3:49,YES,,2007,Cluster_2300.1,True,2300.12,2300.5,18,3.8166666666666664
,,0.344,-1.84,2302.29,922.6964,Metal Loss,13.0,,0.67,0.71,,5:47,YES,,2007,Metal Loss_2302.3,True,2302.29,2302.67,18,5.783333333333333
,,0.344,-9.55,2310.0,923.1627,Metal Loss,10.0,,1.02,0.87,,6:09,YES,,2007,Metal Loss_2310.0,True,2310.0,2310.38,18,6.15
,,0.344,-10.08,2310.53,923.1944,Metal Loss,14.0,,0.98,0.87,,6:03,YES,,2007,Metal Loss_2310.5,True,2310.53,2310.9100000000003,18,6.05
,,0.344,-2.37,2368.29,926.2914,Cluster,13.0,,5.62,5.97,,5:40,YES,,2007,Cluster_2368.3,True,2368.29,2368.67,-1,5.666666666666667
,,0.344,-32.93,2982.66,971.2751,Metal Loss,10.0,,0.51,0.71,,11:01,YES,,2007,Metal Loss_2982.7,True,2982.66,2983.04,19,11.016666666666667
,,0.344,-1.76,2991.42,971.457,Cluster,12.0,,0.77,1.72,,9:37,YES,,2007,Cluster_2991.4,True,2991.42,2991.8,19,9.616666666666667
,,0.344,-1.94,2991.61,971.4608,Metal Loss,13.0,,0.55,0.55,,9:42,YES,,2007,Metal Loss_2991.6,True,2991.61,2991.99,19,9.7
,,0.344,-3.94,2993.61,971.5022,Cluster,10.0,,1.58,1.36,,9:30,YES,,2007,Cluster_2993.6,True,2993.61,2993.99,19,9.5
,,0.344,-4.24,2993.91,971.5085,Cluster,12.0,,1.63,0.67,,2:16,YES,,2007,Cluster_2993.9,True,2993.91,2994.29,19,2.2666666666666666
,,0.344,-4.83,2994.5,971.5207,Cluster,10.0,,4.84,2.81,,9:17,YES,,2007,Cluster_2994.5,True,2994.5,2994.88,19,9.283333333333333
,,0.344,-12.41,3002.07,971.677,Metal Loss,10.0,,0.51,0.55,,8:30,YES,,2007,Metal Loss_3002.1,True,3002.07,3002.4500000000003,19,8.5
,,0.344,-12.57,3002.24,971.6804,Metal Loss,11.0,,0.67,0.71,,8:29,YES,,2007,Metal Loss_3002.2,True,3002.24,3002.62,19,8.483333333333333
,,0.344,-28.38,3018.05,971.9395,Metal Loss,10.0,,0.63,0.63,,3:09,YES,,2007,Metal Loss_3018.1,True,3018.05,3018.4300000000003,20,3.15
,,0.344,-30.21,3019.88,971.941,Cluster,10.0,,1.76,1.24,,8:31,YES,,2007,Cluster_3019.9,True,3019.88,3020.26,20,8.516666666666667
,,0.344,-21.59,3051.05,971.9481,Cluster,10.0,,4.02,0.71,,4:35,YES,,2007,Cluster_3051.1,True,3051.05,3051.4300000000003,21,4.583333333333333
,,0.344,-25.37,3054.83,971.9454,Cluster,10.0,,3.74,1.05,,4:18,YES,,2007,Cluster_3054.8,True,3054.83,3055.21,21,4.3
,,0.344,-25.79,3055.25,971.945,Metal Loss,11.0,,0.67,0.71,,4:22,YES,,2007,Metal Loss_3055.2,True,3055.25,3055.63,21,4.366666666666666
,,0.344,-27.05,3056.51,971.9441,Cluster,11.0,,3.52,0.69,,4:17,YES,,2007,Cluster_3056.5,True,3056.51,3056.8900000000003,21,4.283333333333333
,,0.344,-27.34,3056.8,971.9439,Cluster,11.0,,4.99,3.83,,7:17,YES,,2007,Cluster_3056.8,True,3056.8,3057.1800000000003,21,7.283333333333333
,,0.344,-28.41,3057.87,971.9432,Cluster,11.0,,3.41,1.2,,4:12,YES,,2007,Cluster_3057.9,True,3057.87,3058.25,21,4.2
,,0.344,-28.89,3058.36,971.9428,Metal Loss,12.0,,0.71,0.55,,4:17,YES,,2007,Metal Loss_3058.4,True,3058.36,3058.74,21,4.283333333333333
,,0.344,-29.11,3058.57,971.9426,Cluster,11.0,,6.88,2.77,,3:57,YES,,2007,Cluster_3058.6,True,3058.57,3058.9500000000003,21,3.95
,,0.344,-29.62,3059.08,971.9421,Cluster,11.0,,9.0,3.37,,7:18,YES,,2007,Cluster_3059.1,True,3059.08,3059.46,21,7.3
,,0.344,-29.81,3059.27,971.942,Metal Loss,10.0,,0.91,0.71,,4:14,YES,,2007,Metal Loss_3059.3,True,3059.27,3059.65,21,4.233333333333333
,,0.344,-30.3,3059.76,971.9415,Cluster,11.0,,13.36,5.59,,3:47,YES,,2007,Cluster_3059.8,True,3059.76,3060.1400000000003,21,3.783333333333333
,,0.344,-30.45,3059.92,971.9414,Cluster,11.0,,7.37,3.88,,7:18,YES,,2007,Cluster_3059.9,True,3059.92,3060.3,21,7.3
,,0.344,-31.23,3060.69,971.9407,Cluster,15.0,,7.08,1.34,,7:42,YES,,2007,Cluster_3060.7,True,3060.69,3061.07,21,7.7
,,0.344,-31.92,3061.38,971.9401,Cluster,15.0,,11.11,2.28,,7:39,YES,,2007,Cluster_3061.4,True,3061.38,3061.76,21,7.65
,,0.344,-32.01,3061.47,971.94,Cluster,15.0,,4.7,5.41,,3:59,YES,,2007,Cluster_3061.5,True,3061.47,3061.85,21,3.9833333333333334
,,0.344,-32.51,3061.97,971.9396,Cluster,10.0,,6.55,5.03,,3:37,YES,,2007,Cluster_3062.0,True,3061.97,3062.35,21,3.6166666666666667
,,0.344,-32.95,3062.41,971.9392,Cluster,13.0,,5.17,3.33,,7:34,YES,,2007,Cluster_3062.4,True,3062.41,3062.79,21,7.566666666666666
,,0.344,-33.63,3063.09,971.9386,Cluster,11.0,,5.63,3.44,,7:39,YES,,2007,Cluster_3063.1,True,3063.09,3063.4700000000003,21,7.65
,,0.344,-34.09,3063.55,971.9382,Cluster,11.0,,4.67,2.98,,3:46,YES,,2007,Cluster_3063.6,True,3063.55,3063.9300000000003,21,3.7666666666666666
,,0.344,-39.61,3069.07,971.929,Cluster,12.0,,4.69,5.59,,8:17,YES,,2007,Cluster_3069.1,True,3069.07,3069.4500000000003,21,8.283333333333333
,,0.344,-39.24,3347.22,961.6587,Metal Loss,14.0,,1.18,2.24,,3:48,NO,,2007,Metal Loss_3347.2,True,3347.22,3347.6,22,3.8
,,0.344,-39.32,3347.3,961.6548,Metal Loss,11.0,,0.71,0.94,,7:29,NO,,2007,Metal Loss_3347.3,True,3347.3,3347.6800000000003,22,7.483333333333333
,,0.344,-17.89,3406.04,958.2962,Cluster,18.0,,2.56,2.85,,5:32,NO,,2007,Cluster_3406.0,True,3406.04,3406.42,-1,5.533333333333333
,,0.344,-39.15,3427.3,957.0421,Metal Loss,12.0,,0.87,1.93,,7:45,NO,,2007,Metal Loss_3427.3,True,3427.3,3427.6800000000003,-1,7.75
,,0.344,-0.81,4530.89,907.7889,Metal Loss,15.0,,1.02,2.32,,4:11,NO,,2007,Metal Loss_4530.9,True,4530.89,4531.27,-1,4.183333333333334
,,0.344,-38.94,4609.09,909.2472,Cluster,17.0,,3.47,6.35,,6:16,NO,,2007,Cluster_4609.1,True,4609.09,4609.47,-1,6.266666666666667
,,0.344,-26.58,5024.29,907.4257,Metal Loss-Manufacturing Anomaly,15.0,,0.67,0.55,,3:43,,,2007,Metal Loss-Manufacturing Anomaly_5024.3,True,5024.29,5024.67,-1,3.716666666666667
,,0.344,-28.9,5292.54,904.1469,Cluster,14.0,,2.69,2.22,,6:14,NO,,2007,Cluster_5292.5,True,5292.54,5292.92,23,6.233333333333333
,,0.344,-30.37,5294.02,904.1541,Cluster,12.0,,1.72,0.69,,5:59,NO,,2007,Cluster_5294.0,True,5294.02,5294.400000000001,23,5.983333333333333
,,0.344,-38.65,5342.18,904.168,Cluster,43.0,,6.68,36.53,1.45,3:18,NO,,2007,Cluster_5342.2,True,5342.18,5342.56,24,3.3
,,0.344,-0.79,5344.35,904.1596,Cluster,16.0,,2.0,12.63,,9:41,NO,,2007,Cluster_5344.4,True,5344.35,5344.7300000000005,24,9.683333333333334
,,0.344,-0.99,5344.55,904.1589,Cluster,16.0,,1.02,3.67,,2:33,NO,,2007,Cluster_5344.6,True,5344.55,5344.93,24,2.55
,,0.344,-17.57,5361.13,904.1821,Cluster,21.0,,4.13,6.03,1.76,6:20,NO,,2007,Cluster_5361.1,True,5361.13,5361.51,25,6.333333333333333
,,0.344,-18.29,5361.85,904.1877,Metal Loss,15.0,,0.94,0.55,,6:06,NO,,2007,Metal Loss_5361.9,True,5361.85,5362.2300000000005,25,6.1
,,0.344,-18.4,5361.96,904.1885,Metal Loss,29.0,,1.73,1.14,1.83,6:40,NO,,2007,Metal Loss_5362.0,True,5361.96,5362.34,25,6.666666666666667
,,0.344,-18.47,5362.03,904.1891,Cluster,54.0,,4.21,2.14,1.46,7:18,NO,,2007,Cluster_5362.0,True,5362.03,5362.41,25,7.3
,,0.344,-18.58,5362.14,904.19,Cluster,28.0,,4.5,2.77,1.69,4:39,NO,,2007,Cluster_5362.1,True,5362.14,5362.52,25,4.65
,,0.344,-18.94,5362.5,904.1928,Cluster,40.0,,4.68,5.72,1.57,7:01,NO,,2007,Cluster_5362.5,True,5362.5,5362.88,25,7.016666666666667
,,0.344,-19.06,5362.62,904.1937,Cluster,13.0,,2.05,2.33,,4:50,NO,,2007,Cluster_5362.6,True,5362.62,5363.0,25,4.833333333333333
,,0.344,-19.46,5363.02,904.1969,Metal Loss,32.0,,3.31,1.65,1.72,4:26,NO,,2007,Metal Loss_5363.0,True,5363.02,5363.400000000001,25,4.433333333333334
,,0.344,-19.59,5363.15,904.1979,Cluster,19.0,,3.37,8.23,,6:46,NO,,2007,Cluster_5363.1,True,5363.15,5363.53,25,6.766666666666667
,,0.344,-20.03,5363.59,904.2013,Cluster,37.0,,1.91,2.2,1.79,4:21,NO,,2007,Cluster_5363.6,True,5363.59,5363.97,25,4.35
,,0.344,-21.03,5364.59,904.2091,Cluster,35.0,,2.35,2.12,1.77,4:25,NO,,2007,Cluster_5364.6,True,5364.59,5364.97,25,4.416666666666667
,,0.344,-21.51,5365.07,904.213,Cluster,22.0,,4.85,2.56,1.73,4:23,NO,,2007,Cluster_5365.1,True,5365.07,5365.45,25,4.383333333333334
,,0.344,-22.16,5365.72,904.2181,Cluster,59.0,,14.66,17.01,1.08,5:34,NO,,2007,Cluster_5365.7,True,5365.72,5366.1,25,5.566666666666666
,,0.344,-22.31,5365.86,904.2192,Cluster,11.0,,3.59,5.2,,4:43,NO,,2007,Cluster_5365.9,True,5365.86,5366.24,25,4.716666666666667
,,0.344,-35.87,5379.43,904.345,Cluster,40.0,,3.78,19.14,1.63,4:36,NO,,2007,Cluster_5379.4,True,5379.43,5379.81,-1,4.6
,,0.344,-0.74,5447.33,906.411,Cluster,12.0,,2.09,16.57,,6:42,NO,,2007,Cluster_5447.3,True,5447.33,5447.71,-1,6.7
,,0.344,-12.36,5458.94,906.7782,Metal Loss-Manufacturing Anomaly,11.0,,3.82,1.06,,12:40,,,2007,Metal Loss-Manufacturing Anomaly_5458.9,True,5458.94,5459.32,-1,12.666666666666666
,,0.344,-39.06,5830.69,921.9398,Cluster,19.0,,1.66,6.26,,6:47,NO,,2007,Cluster_5830.7,True,5830.69,5831.07,-1,6.783333333333333
,,0.344,-23.68,6924.26,842.9271,Metal Loss-Manufacturing Anomaly,14.0,,0.59,0.55,,12:28,,,2007,Metal Loss-Manufacturing Anomaly_6924.3,True,6924.26,6924.64,26,12.466666666666667
,,0.344,-24.96,6925.53,842.8694,Metal Loss-Manufacturing Anomaly,20.0,,0.55,0.59,,9:45,,,2007,Metal Loss-Manufacturing Anomaly_6925.5,True,6925.53,6925.91,26,9.75
,,0.344,-39.06,6979.62,840.5392,Metal Loss,17.0,,1.65,2.01,,5:21,NO,,2007,Metal Loss_6979.6,True,6979.62,6980.0,27,5.35
,,0.344,-39.08,6979.64,840.5385,Metal Loss,25.0,,1.26,3.9,1.86,6:42,NO,,2007,Metal Loss_6979.6,True,6979.64,6980.02,27,6.7
,,0.344,-39.05,7052.36,838.1095,Cluster,18.0,,1.99,5.38,,3:50,NO,,2007,Cluster_7052.4,True,7052.36,7052.74,-1,3.8333333333333335
,,0.344,-24.7,7637.41,815.6535,Metal Loss,19.0,,1.38,1.18,,9:07,NO,,2007,Metal Loss_7637.4,True,7637.41,7637.79,28,9.116666666666667
,,0.344,-25.04,7637.75,815.6391,Metal Loss,14.0,,1.46,1.53,,9:05,NO,,2007,Metal Loss_7637.8,True,7637.75,7638.13,28,9.083333333333334
,,0.344,-26.09,7638.8,815.5944,Cluster,11.0,,3.06,3.46,,9:38,NO,,2007,Cluster_7638.8,True,7638.8,7639.18,28,9.633333333333333
,,0.344,-38.53,7651.24,815.0541,Cluster,11.0,,3.41,1.38,,6:27,NO,,2007,Cluster_7651.2,True,7651.24,7651.62,-1,6.45
,,0.344,-39.13,8421.4,815.445,Metal Loss,11.0,,0.87,1.1,,6:52,NO,,2007,Metal Loss_8421.4,True,8421.4,8421.779999999999,-1,6.866666666666667
,,0.344,-38.95,8725.0,807.2579,Cluster,10.0,,3.94,4.61,,4:50,NO,,2007,Cluster_8725.0,True,8725.0,8725.380000000001,-1,4.833333333333333
,,0.344,-3.72,8889.36,807.6581,Metal Loss-Manufacturing Anomaly,13.0,,0.47,0.71,,10:52,,,2007,Metal Loss-Manufacturing Anomaly_8889.4,True,8889.36,8889.740000000002,29,10.866666666666667
,,0.344,-4.23,8889.87,807.6607,Metal Loss-Manufacturing Anomaly,14.0,,1.61,0.71,,7:07,,,2007,Metal Loss-Manufacturing Anomaly_8889.9,True,8889.87,8890.25,29,7.116666666666666
,,0.344,-1.44,9473.05,780.4636,Metal Loss,10.0,,0.71,0.59,,5:15,YES,,2007,Metal Loss_9473.0,True,9473.05,9473.43,-1,5.25
,,0.344,-38.82,10202.72,826.6514,Cluster,13.0,,2.65,3.81,,7:11,NO,,2007,Cluster_10202.7,True,10202.72,10203.1,-1,7.183333333333334
,,0.344,-8.37,10392.93,824.2547,Metal Loss-Manufacturing Anomaly,17.0,,3.66,0.71,,8:22,,,2007,Metal Loss-Manufacturing Anomaly_10392.9,True,10392.93,10393.31,-1,8.366666666666667
,,0.344,-19.7,10404.26,824.1441,Metal Loss-Manufacturing Anomaly,17.0,,3.58,0.63,,2:23,,,2007,Metal Loss-Manufacturing Anomaly_10404.3,True,10404.26,10404.64,-1,2.3833333333333333
,,0.344,-0.76,10505.17,822.7847,Cluster,10.0,,4.09,13.28,,5:10,NO,,2007,Cluster_10505.2,True,10505.17,10505.55,-1,5.166666666666667
,,0.344,-29.95,10574.38,820.8848,Cluster,21.0,,6.8,5.8,1.69,4:21,NO,,2007,Cluster_10574.4,True,10574.38,10574.759999999998,30,4.35
,,0.344,-30.7,10575.13,820.8552,Cluster,17.0,,6.35,2.87,,4:19,NO,,2007,Cluster_10575.1,True,10575.13,10575.509999999998,30,4.316666666666666
,,0.344,-33.09,10577.51,820.7606,Cluster,12.0,,2.87,1.43,,6:20,NO,,2007,Cluster_10577.5,True,10577.51,10577.89,30,6.333333333333333
,,0.344,-39.0,10583.42,820.523,Cluster,19.0,,2.99,2.91,,6:27,NO,,2007,Cluster_10583.4,True,10583.42,10583.8,30,6.45
,,0.344,-39.15,10583.57,820.5169,Metal Loss,26.0,,1.06,2.28,1.86,3:53,NO,,2007,Metal Loss_10583.6,True,10583.57,10583.95,30,3.8833333333333333
,,0.344,-0.54,10743.51,820.7096,Cluster,23.0,,2.6,2.39,1.8,5:18,NO,,2007,Cluster_10743.5,True,10743.51,10743.89,-1,5.3
,,0.344,-4.3,11046.93,829.1849,Metal Loss-Manufacturing Anomaly,12.0,,0.63,0.75,,3:25,,,2007,Metal Loss-Manufacturing Anomaly_11046.9,True,11046.93,11047.31,-1,3.4166666666666665
,,0.344,-19.85,12180.29,862.3529,Metal Loss-Manufacturing Anomaly,13.0,,3.78,1.46,,10:32,,,2007,Metal Loss-Manufacturing Anomaly_12180.3,True,12180.29,12180.670000000002,-1,10.533333333333333
,,0.344,-20.9,12381.12,870.4641,Metal Loss-Manufacturing Anomaly,20.0,,3.66,2.68,,5:02,,,2007,Metal Loss-Manufacturing Anomaly_12381.1,True,12381.12,12381.5,-1,5.033333333333333
,,0.344,-0.6,13138.89,876.6469,Metal Loss,33.0,,5.51,0.63,1.61,4:05,NO,,2007,Metal Loss_13138.9,True,13138.89,13139.27,31,4.083333333333333
,,0.344,-0.61,13138.9,876.646,Cluster,34.0,,8.47,25.13,1.52,4:35,NO,,2007,Cluster_13138.9,True,13138.9,13139.28,31,4.583333333333333
,,0.344,-0.82,13139.11,876.6339,Metal Loss,11.0,,0.98,1.77,,3:15,NO,,2007,Metal Loss_13139.1,True,13139.11,13139.490000000002,31,3.25
,,0.344,-0.76,13393.85,851.3967,Cluster,14.0,,2.52,8.15,,11:48,NO,,2007,Cluster_13393.9,True,13393.85,13394.23,-1,11.8
,,0.344,-22.51,13836.19,869.0829,Metal Loss-Manufacturing Anomaly,14.0,,0.83,0.87,,10:39,,,2007,Metal Loss-Manufacturing Anomaly_13836.2,True,13836.19,13836.57,-1,10.65
,,0.344,-25.71,14928.01,821.8759,Metal Loss,26.0,,0.91,0.94,1.87,1:11,NO,,2007,Metal Loss_14928.0,True,14928.01,14928.39,32,1.1833333333333333
,,0.344,-25.9,14928.2,821.8769,Cluster,10.0,,1.57,3.31,,1:07,NO,,2007,Cluster_14928.2,True,14928.2,14928.580000000002,32,1.1166666666666667
,,0.344,-1.48,14943.65,822.1251,Cluster,14.0,,3.23,2.16,,6:08,NO,,2007,Cluster_14943.6,True,14943.65,14944.03,33,6.133333333333334
,,0.344,-2.22,14944.39,822.146,Cluster,13.0,,4.16,3.35,,05:00,NO,,2007,Cluster_14944.4,True,14944.39,14944.77,33,5.0
,,0.344,-2.27,14944.44,822.1474,Cluster,14.0,,7.08,6.14,,6:48,NO,,2007,Cluster_14944.4,True,14944.44,14944.82,33,6.8
,,0.5,-0.03,14945.2,822.1702,Cluster,10.0,,8.15,6.03,,4:46,NO,,2007,Cluster_14945.2,True,14945.2,14945.580000000002,33,4.766666666666667
,,0.5,-3.79,14948.96,822.2879,Cluster,14.0,,5.27,8.84,,4:44,NO,,2007,Cluster_14949.0,True,14948.96,14949.34,33,4.733333333333333
,,0.344,-1.08,14950.79,822.3451,Cluster,15.0,,3.43,3.5,,5:04,NO,,2007,Cluster_14950.8,True,14950.79,14951.170000000002,33,5.066666666666666
,,0.344,-1.42,14951.13,822.3559,Cluster,25.0,,6.48,10.52,1.66,3:51,NO,,2007,Cluster_14951.1,True,14951.13,14951.509999999998,33,3.85
,,0.344,-0.07,14952.76,822.4068,Metal Loss,31.0,,0.98,4.09,1.86,5:46,NO,,2007,Metal Loss_14952.8,True,14952.76,14953.14,33,5.766666666666667
,,0.344,-28.46,15034.27,821.1598,Metal Loss,11.0,,0.71,0.67,,8:57,NO,,2007,Metal Loss_15034.3,True,15034.27,15034.65,34,8.95
,,0.344,-30.19,15036.01,821.0611,Cluster,13.0,,3.04,3.31,,8:37,NO,,2007,Cluster_15036.0,True,15036.01,15036.39,34,8.616666666666667
,,0.344,-8.4,15054.15,820.2092,Cluster,15.0,,5.14,5.32,,5:18,NO,,2007,Cluster_15054.1,True,15054.15,15054.53,-1,5.3
,,0.344,-20.74,15066.49,819.6019,Metal Loss,12.0,,1.1,1.02,,3:09,NO,,2007,Metal Loss_15066.5,True,15066.49,15066.87,35,3.15
,,0.344,-27.23,15072.99,819.2671,Metal Loss,14.0,,0.75,0.59,,8:29,NO,,2007,Metal Loss_15073.0,True,15072.99,15073.37,35,8.483333333333333
,,0.344,-28.43,15074.18,819.2055,Metal Loss,18.0,,0.71,0.71,,9:28,NO,,2007,Metal Loss_15074.2,True,15074.18,15074.56,35,9.466666666666667
,,0.344,-29.49,15075.24,819.1509,Cluster,29.0,,4.66,2.95,1.68,9:16,NO,,2007,Cluster_15075.2,True,15075.24,15075.62,35,9.266666666666667
,,0.344,-30.08,15075.83,819.1202,Metal Loss,22.0,,0.71,0.71,1.88,9:38,NO,,2007,Metal Loss_15075.8,True,15075.83,15076.21,35,9.633333333333333
,,0.344,-32.52,15078.28,818.9927,Metal Loss,11.0,,0.71,0.79,,9:17,NO,,2007,Metal Loss_15078.3,True,15078.28,15078.66,35,9.283333333333333
,,0.344,-32.83,15078.58,818.9767,Cluster,25.0,,3.47,1.28,1.76,9:18,NO,,2007,Cluster_15078.6,True,15078.58,15078.96,35,9.3
,,0.344,-38.97,15084.72,818.6563,Cluster,18.0,,1.81,6.3,,3:44,NO,,2007,Cluster_15084.7,True,15084.72,15085.1,35,3.7333333333333334
,,0.344,-0.73,15086.39,818.5693,Cluster,19.0,,4.32,10.74,,3:12,NO,,2007,Cluster_15086.4,True,15086.39,15086.77,35,3.2
,,0.344,-0.78,15275.68,809.7644,Metal Loss,10.0,,2.09,0.71,,4:48,NO,,2007,Metal Loss_15275.7,True,15275.68,15276.06,-1,4.8
,,0.344,-12.78,15345.69,802.6387,Metal Loss,24.0,,2.05,6.02,1.83,4:20,NO,,2007,Metal Loss_15345.7,True,15345.69,15346.07,-1,4.333333333333333
,,0.344,-2.52,15357.47,801.7592,Metal Loss,16.0,,1.1,1.18,,5:03,NO,,2007,Metal Loss_15357.5,True,15357.47,15357.85,-1,5.05
